Combinations	core	pangenome	variable
2	100684	105961	5277
2	98045	106541	8496
2	96890	106447	9557
2	97056	106848	9792
2	95264	105811	10547
2	100736	106524	5788
2	100557	106280	5723
2	100408	106977	6569
2	96390	106760	10370
2	97085	106573	9488
2	99931	106444	6513
2	99839	105716	5877
2	102445	106855	4410
2	101580	106437	4857
2	101240	104720	3480
2	96996	105120	8124
2	99522	105975	6453
2	98699	105915	7216
2	100854	104990	4136
2	99568	105555	5987
2	101138	104823	3685
2	100891	105926	5035
2	97331	105762	8431
2	96105	105975	9870
2	100443	106065	5622
2	97799	106974	9175
2	100541	106157	5616
2	97589	106926	9337
2	96056	106173	10117
2	99071	105825	6754
2	100231	105787	5556
2	95267	106150	10883
2	101387	104966	3579
2	98469	105004	6535
2	101028	104847	3819
2	95895	106625	10730
2	98223	105675	7452
2	94636	105602	10966
2	96802	106374	9572
2	99902	105720	5818
2	97591	105827	8236
2	100340	105665	5325
2	98549	107147	8598
2	101334	104784	3450
2	99323	106622	7299
2	99922	106423	6501
2	102176	106034	3858
2	99808	105882	6074
2	101182	105745	4563
2	98925	106926	8001
2	98297	107166	8869
2	100217	105741	5524
2	101471	104845	3374
2	98689	106600	7911
2	101759	104233	2474
2	100769	105894	5125
2	99498	106126	6628
2	99300	106011	6711
2	100825	106021	5196
2	99392	105788	6396
2	99829	106079	6250
2	101274	104885	3611
2	100665	105166	4501
2	101490	106446	4956
2	100516	105354	4838
2	100050	105635	5585
2	99908	106165	6257
2	100220	106183	5963
2	101172	106260	5088
2	101134	106420	5286
3	94500	107286	12786
3	99680	105706	6026
3	95878	107649	11771
3	94392	107471	13079
3	99765	106733	6968
3	98426	106528	8102
3	98010	106143	8133
3	98791	106385	7594
3	94921	107221	12300
3	93862	107235	13373
3	96639	107519	10880
3	98908	106140	7232
3	96429	107705	11276
3	98838	106594	7756
3	95822	106571	10749
3	94133	107142	13009
3	97225	107334	10109
3	95697	106694	10997
3	98223	106016	7793
3	96313	107786	11473
3	96017	106960	10943
3	97127	105590	8463
3	95777	107500	11723
3	99837	107082	7245
3	95236	107188	11952
3	97814	106220	8406
3	96923	106923	10000
3	96562	107474	10912
3	96486	106368	9882
3	99091	107647	8556
3	97995	106723	8728
3	94779	107581	12802
3	97560	106868	9308
3	93123	107023	13900
3	96113	106734	10621
3	98060	106558	8498
3	97104	106655	9551
3	96259	107162	10903
3	94026	107638	13612
3	97362	107740	10378
3	99265	107835	8570
3	99322	106459	7137
3	99604	105913	6309
3	95614	107234	11620
3	98115	106265	8150
3	92970	107365	14395
3	92902	106878	13976
3	98298	106674	8376
3	93458	107407	13949
3	99613	105816	6203
3	99044	106490	7446
3	97387	106250	8863
3	97362	106796	9434
3	99875	106602	6727
3	93409	106961	13552
3	95663	107539	11876
3	96880	107374	10494
3	99816	107087	7271
3	96094	106680	10586
3	94579	107082	12503
3	98946	107389	8443
3	97440	105930	8490
3	95910	107576	11666
3	97053	107566	10513
3	94299	106925	12626
3	97681	105972	8291
3	97103	107007	9904
3	95274	107082	11808
3	99052	106490	7438
3	100223	105446	5223
3	95282	107579	12297
3	99724	105662	5938
4	97244	107069	9825
4	97512	106888	9376
4	98820	107184	8364
4	96396	106819	10423
4	97899	107241	9342
4	95322	106966	11644
4	98004	106271	8267
4	97313	107154	9841
4	96801	107875	11074
4	94910	107866	12956
4	94475	107717	13242
4	95538	107863	12325
4	96841	107337	10496
4	95932	107017	11085
4	96172	107004	10832
4	96752	106805	10053
4	99380	106387	7007
4	96502	107694	11192
4	96506	107843	11337
4	96945	107110	10165
4	97455	107162	9707
4	93347	107522	14175
4	91380	107195	15815
4	99052	107159	8107
4	91754	107673	15919
4	93643	107374	13731
4	97585	107655	10070
4	94809	106953	12144
4	92184	107949	15765
4	96180	107291	11111
4	94997	107061	12064
4	97447	106508	9061
4	98152	106819	8667
4	97750	107829	10079
4	98559	105685	7126
4	95384	107932	12548
4	97781	107057	9276
4	98292	107302	9010
4	97135	107109	9974
4	97990	107060	9070
4	92097	107875	15778
4	94921	107892	12971
4	99199	106086	6887
4	95508	107706	12198
4	97654	106980	9326
4	97648	106810	9162
4	96701	106645	9944
4	96986	107742	10756
4	97372	107920	10548
4	93833	107374	13541
4	90607	107857	17250
4	93596	107575	13979
4	94202	107174	12972
4	95499	107921	12422
4	94905	106696	11791
4	93966	106875	12909
4	96260	106079	9819
4	97389	107426	10037
4	92057	107381	15324
4	93399	107744	14345
4	95995	107419	11424
4	92854	107630	14776
4	93436	107468	14032
4	95294	107829	12535
4	96159	107857	11698
4	98117	107445	9328
4	96793	107209	10416
4	94102	107836	13734
4	92179	107360	15181
4	97166	108004	10838
4	94410	107688	13278
4	93920	107970	14050
5	94553	107572	13019
5	90921	107871	16950
5	91889	107856	15967
5	95021	108117	13096
5	92401	107677	15276
5	96308	106872	10564
5	94708	108012	13304
5	90342	107806	17464
5	96335	107718	11383
5	93721	108029	14308
5	94441	107722	13281
5	97073	107421	10348
5	95995	107909	11914
5	88849	107959	19110
5	93709	107727	14018
5	94237	107845	13608
5	92932	107785	14853
5	93209	108032	14823
5	94134	107180	13046
5	92096	107810	15714
5	96049	108102	12053
5	93651	107332	13681
5	91356	107983	16627
5	98153	107837	9684
5	96269	107710	11441
5	92647	107856	15209
5	94188	107401	13213
5	90177	107669	17492
5	93995	107082	13087
5	90434	108081	17647
5	92145	107682	15537
5	96329	107968	11639
5	96748	107814	11066
5	93988	107506	13518
5	95006	107756	12750
5	94764	108022	13258
5	95238	107601	12363
5	91001	107478	16477
5	94492	107574	13082
5	92427	107861	15434
5	95098	107555	12457
5	89030	107952	18922
5	90713	107789	17076
5	92067	108030	15963
5	92847	107935	15088
5	92524	107954	15430
5	92474	108178	15704
5	93523	107469	13946
5	94213	107167	12954
5	92590	107661	15071
5	98304	107485	9181
5	95950	107449	11499
5	89730	107963	18233
5	90042	107835	17793
5	91069	107855	16786
5	96717	107185	10468
5	95688	107422	11734
5	97178	107847	10669
5	94270	107704	13434
5	96028	107418	11390
5	88428	107939	19511
5	93212	107892	14680
5	90870	107480	16610
5	96251	107271	11020
5	92177	107922	15745
5	89620	108004	18384
5	92544	107845	15301
5	91450	107867	16417
5	94392	107514	13122
5	91486	107976	16490
5	90893	108004	17111
5	96316	107853	11537
6	92751	108118	15367
6	92880	107986	15106
6	90950	108066	17116
6	91948	108100	16152
6	89956	108011	18055
6	94985	108002	13017
6	94860	107997	13137
6	92843	108062	15219
6	95264	107496	12232
6	91985	107639	15654
6	90282	108072	17790
6	86267	108043	21776
6	95546	107622	12076
6	91571	107758	16187
6	91289	108173	16884
6	90585	107624	17039
6	94058	107629	13571
6	92062	107621	15559
6	89348	108009	18661
6	93898	107957	14059
6	93171	107739	14568
6	92897	107444	14547
6	93049	108257	15208
6	91259	107737	16478
6	96650	107453	10803
6	92952	107937	14985
6	95458	107389	11931
6	88501	108105	19604
6	93959	107996	14037
6	92428	107719	15291
6	96445	108101	11656
6	92206	107606	15400
6	94105	107660	13555
6	90712	108046	17334
6	95913	107521	11608
6	91560	108060	16500
6	95902	107668	11766
6	95842	107525	11683
6	94644	107601	12957
6	90545	108159	17614
6	91181	108093	16912
6	89077	108046	18969
6	91720	107918	16198
6	92849	107946	15097
6	88528	107958	19430
6	91738	107948	16210
6	96160	107474	11314
6	96813	107317	10504
6	93213	107876	14663
6	90359	107925	17566
6	93516	108154	14638
6	91553	107994	16441
6	88844	108093	19249
6	96075	107449	11374
6	92707	107952	15245
6	93334	107473	14139
6	94516	107633	13117
6	92321	107694	15373
6	96799	107520	10721
6	95803	107520	11717
6	94363	107708	13345
6	90906	108118	17212
6	90704	107544	16840
6	92881	108038	15157
6	87712	107756	20044
6	94318	107777	13459
6	95482	107576	12094
6	91954	107631	15677
6	92281	107604	15323
6	92430	107619	15189
6	91219	107812	16593
6	92651	108118	15467
7	89272	108066	18794
7	91789	107938	16149
7	92404	107649	15245
7	92867	107855	14988
7	89879	107780	17901
7	88893	107804	18911
7	94050	107747	13697
7	88036	107978	19942
7	88006	108026	20020
7	95197	108011	12814
7	94131	107657	13526
7	92544	107775	15231
7	89431	108058	18627
7	86854	108256	21402
7	95608	107774	12166
7	90457	107710	17253
7	90919	107928	17009
7	90622	108282	17660
7	87177	108189	21012
7	94571	107818	13247
7	89201	108009	18808
7	89157	108053	18896
7	87081	108158	21077
7	92629	107543	14914
7	92563	108142	15579
7	92439	108071	15632
7	94383	107447	13064
7	88044	108070	20026
7	95935	107270	11335
7	91897	107501	15604
7	89974	108091	18117
7	94609	107515	12906
7	88830	108256	19426
7	89707	108128	18421
7	93927	107967	14040
7	91069	108136	17067
7	86943	108326	21383
7	85636	108117	22481
7	87884	108149	20265
7	89265	108101	18836
7	90950	108135	17185
7	93507	108207	14700
7	94967	107333	12366
7	91515	108033	16518
7	91449	107945	16496
7	85945	108222	22277
7	92881	107728	14847
7	90774	108064	17290
7	87779	108096	20317
7	94594	107630	13036
7	91669	107751	16082
7	88172	108107	19935
7	88984	107986	19002
7	90970	108214	17244
7	88366	108164	19798
7	87166	108103	20937
7	87233	108104	20871
7	94498	107552	13054
7	93377	108085	14708
7	89494	107910	18416
7	93195	108096	14901
7	89756	108087	18331
7	91280	107897	16617
7	90861	108058	17197
7	86751	108092	21341
7	88555	108137	19582
7	90905	107819	16914
7	92544	107828	15284
7	88064	108202	20138
7	91750	107555	15805
7	95138	107573	12435
7	89501	108173	18672
8	90209	107875	17666
8	94673	107550	12877
8	87473	108257	20784
8	87471	108127	20656
8	94603	107785	13182
8	90375	107991	17616
8	89806	108028	18222
8	87218	108070	20852
8	89582	107925	18343
8	85939	108279	22340
8	93530	107665	14135
8	90182	108306	18124
8	89307	108016	18709
8	92302	107661	15359
8	86214	108167	21953
8	93511	108198	14687
8	89106	108291	19185
8	88938	108315	19377
8	89016	108164	19148
8	89063	108115	19052
8	87692	108219	20527
8	88364	108141	19777
8	90393	107754	17361
8	94461	107728	13267
8	93450	107923	14473
8	90542	108233	17691
8	90486	107825	17339
8	87360	108304	20944
8	88612	108225	19613
8	91107	108229	17122
8	93275	107974	14699
8	91407	107888	16481
8	86590	108245	21655
8	93111	108190	15079
8	91094	107952	16858
8	94843	107699	12856
8	88031	108234	20203
8	94508	107686	13178
8	90781	108024	17243
8	93857	107941	14084
8	90826	108037	17211
8	89417	108161	18744
8	93829	107652	13823
8	91780	108127	16347
8	88182	108148	19966
8	87276	108197	20921
8	89160	107762	18602
8	88974	108277	19303
8	88967	108123	19156
8	84496	108108	23612
8	91015	107956	16941
8	88489	107932	19443
8	95965	107237	11272
8	88132	107874	19742
8	91206	108280	17074
8	91307	108111	16804
8	87310	107983	20673
8	90500	108188	17688
8	89266	108156	18890
8	88057	107986	19929
8	87316	108011	20695
8	90971	108223	17252
8	87853	108195	20342
8	87155	108252	21097
8	93663	107904	14241
8	86417	108315	21898
8	89075	108158	19083
8	91008	108140	17132
8	88195	108257	20062
8	87632	107948	20316
8	88114	108256	20142
8	88743	108247	19504
9	88431	108100	19669
9	94648	107853	13205
9	89902	108204	18302
9	89213	108310	19097
9	87672	108113	20441
9	90012	107832	17820
9	90731	107619	16888
9	88693	108229	19536
9	90912	108264	17352
9	92479	107734	15255
9	89639	107922	18283
9	89715	108248	18533
9	89407	108142	18735
9	89440	108141	18701
9	93299	108002	14703
9	91246	108202	16956
9	89824	107977	18153
9	88336	108295	19959
9	88697	108074	19377
9	87968	107964	19996
9	89233	108013	18780
9	92655	108171	15516
9	88682	108139	19457
9	86763	108133	21370
9	87258	107954	20696
9	86212	108252	22040
9	88752	108126	19374
9	90214	108259	18045
9	86851	108123	21272
9	88962	108254	19292
9	88129	108385	20256
9	88919	108212	19293
9	93878	107707	13829
9	93312	107952	14640
9	90849	108258	17409
9	89858	107967	18109
9	85634	108203	22569
9	88786	108311	19525
9	87741	108124	20383
9	88917	108223	19306
9	91591	108229	16638
9	93041	107973	14932
9	92896	107944	15048
9	89418	107996	18578
9	90990	108179	17189
9	86081	108202	22121
9	90345	108091	17746
9	88354	108254	19900
9	93265	107987	14722
9	87791	108243	20452
9	86588	108008	21420
9	89608	108256	18648
9	87410	108296	20886
9	91033	108057	17024
9	91984	107920	15936
9	84770	108203	23433
9	87350	108242	20892
9	89611	107939	18328
9	88824	108309	19485
9	88582	108176	19594
9	89436	108064	18628
9	91474	107909	16435
9	90038	108270	18232
9	88865	108340	19475
9	91702	108071	16369
9	84682	108328	23646
9	88480	108304	19824
9	90367	107937	17570
9	90248	108160	17912
9	91783	108038	16255
9	85432	108173	22741
9	87561	108166	20605
10	87803	108323	20520
10	85811	108323	22512
10	89303	108232	18929
10	86161	108341	22180
10	91834	107978	16144
10	85355	108262	22907
10	91091	108094	17003
10	94476	108060	13584
10	89593	108133	18540
10	88880	108338	19458
10	92621	107968	15347
10	92287	107927	15640
10	87489	108261	20772
10	87678	108251	20573
10	93181	107755	14574
10	81719	108368	26649
10	83988	108334	24346
10	88608	108190	19582
10	87818	108269	20451
10	84037	108321	24284
10	85222	108331	23109
10	89323	108393	19070
10	89901	108296	18395
10	86765	108319	21554
10	88103	108263	20160
10	89851	108320	18469
10	91475	108319	16844
10	88370	108065	19695
10	88590	108188	19598
10	86476	108327	21851
10	90669	107955	17286
10	88142	108051	19909
10	88834	108338	19504
10	87074	108041	20967
10	93558	107654	14096
10	88891	107976	19085
10	86973	108329	21356
10	91451	108235	16784
10	93796	107785	13989
10	87061	108334	21273
10	88904	108347	19443
10	88361	107977	19616
10	86846	108232	21386
10	94647	107610	12963
10	92968	108158	15190
10	87643	108346	20703
10	85684	108119	22435
10	87290	108080	20790
10	89819	108051	18232
10	92852	108015	15163
10	87426	108309	20883
10	92457	107982	15525
10	83905	108302	24397
10	83485	108204	24719
10	90239	108128	17889
10	90666	108259	17593
10	92987	108264	15277
10	86814	108286	21472
10	85490	108237	22747
10	84394	108323	23929
10	85493	108365	22872
10	90703	108060	17357
10	89164	108066	18902
10	90770	108225	17455
10	90737	108127	17390
10	87966	108125	20159
10	88957	108033	19076
10	91889	107981	16092
10	92877	108225	15348
10	91992	108192	16200
10	89467	108155	18688
10	84786	108278	23492
11	93914	107812	13898
11	86102	108298	22196
11	81287	108347	27060
11	89096	108047	18951
11	86287	108240	21953
11	85139	108317	23178
11	90016	108052	18036
11	87692	108349	20657
11	92269	107705	15436
11	88767	108051	19284
11	89445	107990	18545
11	88219	108371	20152
11	91112	108213	17101
11	87624	108159	20535
11	86356	108396	22040
11	87795	108420	20625
11	87790	108252	20462
11	89687	108244	18557
11	94285	107669	13384
11	89825	108240	18415
11	89211	108156	18945
11	86250	108402	22152
11	86004	108118	22114
11	89629	108153	18524
11	87536	108232	20696
11	89084	108022	18938
11	88107	108101	19994
11	87589	108163	20574
11	83868	108265	24397
11	87409	108315	20906
11	82802	108409	25607
11	89287	108335	19048
11	85873	108339	22466
11	85405	108315	22910
11	89531	108331	18800
11	89919	107898	17979
11	86623	108342	21719
11	84905	108377	23472
11	90007	107991	17984
11	87985	108442	20457
11	88677	108086	19409
11	91572	107865	16293
11	82916	108264	25348
11	90026	107916	17890
11	88894	108216	19322
11	91178	107938	16760
11	87227	108000	20773
11	90671	107974	17303
11	88526	108278	19752
11	95055	107937	12882
11	88419	108230	19811
11	83819	108373	24554
11	87772	108062	20290
11	86294	108276	21982
11	85969	108282	22313
11	91900	108005	16105
11	88143	108375	20232
11	90617	108020	17403
11	93574	107845	14271
11	85210	108217	23007
11	84866	108333	23467
11	88278	107929	19651
11	84873	108078	23205
11	85383	108385	23002
11	87722	108195	20473
11	87178	108311	21133
11	88275	108068	19793
11	83555	108343	24788
11	83923	108376	24453
11	87444	108291	20847
11	84360	108406	24046
11	87971	108047	20076
12	93330	107605	14275
12	87862	108075	20213
12	83378	108326	24948
12	84899	108217	23318
12	85555	108299	22744
12	90980	108062	17082
12	84260	108318	24058
12	89256	108365	19109
12	84051	108354	24303
12	88183	108333	20150
12	85769	108268	22499
12	84515	108310	23795
12	87285	108366	21081
12	84720	108281	23561
12	83978	108332	24354
12	92548	107499	14951
12	85068	108295	23227
12	90320	108255	17935
12	89535	107987	18452
12	88875	108334	19459
12	83523	108325	24802
12	85487	108267	22780
12	84460	108337	23877
12	87379	108164	20785
12	84616	108194	23578
12	84981	108274	23293
12	84834	108350	23516
12	86578	108354	21776
12	83452	108410	24958
12	84693	108335	23642
12	86921	108328	21407
12	84116	108396	24280
12	91435	107933	16498
12	88677	108195	19518
12	85400	108406	23006
12	88861	108243	19382
12	90623	108009	17386
12	87833	108304	20471
12	85507	108344	22837
12	86872	108097	21225
12	87914	108356	20442
12	80039	108319	28280
12	87901	108192	20291
12	87501	108348	20847
12	88591	108286	19695
12	90463	108313	17850
12	85117	108344	23227
12	88006	108292	20286
12	87990	108365	20375
12	89079	108137	19058
12	88903	108206	19303
12	82890	108386	25496
12	91038	108041	17003
12	82509	108314	25805
12	83182	108321	25139
12	84910	108246	23336
12	90401	108023	17622
12	84160	108294	24134
12	89172	108087	18915
12	85394	108189	22795
12	91797	108192	16395
12	88984	108235	19251
12	86954	108346	21392
12	86286	108251	21965
12	86051	108199	22148
