Combinations	core	pangenome	variable
2	100539	104890	4351
2	101359	104328	2969
2	99762	105856	6094
2	100479	106327	5848
2	100648	105950	5302
2	99039	106239	7200
2	99790	105630	5840
2	100572	104394	3822
2	100772	105949	5177
2	99548	104943	5395
2	101480	106002	4522
2	100731	105556	4825
2	99422	105920	6498
2	101809	106353	4544
2	100965	106577	5612
2	101930	105032	3102
2	100138	105834	5696
2	100898	106336	5438
2	99484	106280	6796
2	97568	105841	8273
2	97140	105451	8311
2	101852	105668	3816
2	98874	105084	6210
2	100651	106235	5584
2	100162	106015	5853
2	99607	106131	6524
2	99883	106012	6129
2	100423	106255	5832
2	101595	104890	3295
2	99291	106131	6840
2	100443	106065	5622
2	99838	105683	5845
2	100817	105872	5055
2	101001	105193	4192
2	99931	105691	5760
2	99100	105083	5983
2	101574	106218	4644
2	101450	106324	4874
2	99615	105927	6312
2	101316	106439	5123
2	100539	104683	4144
2	98693	106044	7351
2	98679	105661	6982
2	101035	105281	4246
2	100345	105860	5515
2	99628	105527	5899
2	100332	105771	5439
2	99372	106088	6716
2	100400	105108	4708
2	101119	104426	3307
2	100646	104753	4107
2	100721	105746	5025
2	101202	105625	4423
3	100112	106516	6404
3	97948	106791	8843
3	98973	106369	7396
3	98011	106532	8521
3	98038	107105	9067
3	99120	106456	7336
3	99720	105539	5819
3	97189	106981	9792
3	98646	106419	7773
3	98829	106108	7279
3	97788	106714	8926
3	99361	106077	6716
3	97071	106893	9822
3	97315	106852	9537
3	96346	106694	10348
3	98758	106550	7792
3	97783	106985	9202
3	100179	106898	6719
3	99645	105386	5741
3	99034	105373	6339
3	96745	106520	9775
3	97467	106919	9452
3	99362	105507	6145
3	97081	106965	9884
3	97288	107008	9720
3	95850	106640	10790
3	96981	106792	9811
3	97758	106691	8933
3	100030	105469	5439
3	97953	106711	8758
3	97245	106564	9319
3	99466	106559	7093
3	99673	106487	6814
3	97915	106248	8333
3	97901	106897	8996
3	98760	107230	8470
3	97705	106498	8793
3	98725	106445	7720
3	98088	106636	8548
3	99835	105355	5520
3	98880	106219	7339
3	99916	105345	5429
3	99368	106603	7235
3	96547	106753	10206
3	100086	106296	6210
3	97746	106244	8498
3	98588	106905	8317
3	98742	106863	8121
3	97053	106863	9810
3	99206	106923	7717
3	99706	106187	6481
3	98185	106921	8736
3	96906	106917	10011
3	96909	106956	10047
4	95933	107256	11323
4	98093	107002	8909
4	98591	107039	8448
4	97374	107082	9708
4	98159	107384	9225
4	97952	107273	9321
4	95946	107230	11284
4	97929	106541	8612
4	97421	106900	9479
4	96827	106899	10072
4	97554	106572	9018
4	98274	107157	8883
4	94602	107194	12592
4	94680	107177	12497
4	98613	107086	8473
4	97416	107322	9906
4	96873	107187	10314
4	97202	107172	9970
4	94995	107048	12053
4	97187	106984	9797
4	97279	107301	10022
4	96058	106832	10774
4	97572	107113	9541
4	97861	106733	8872
4	97428	106825	9397
4	96219	106830	10611
4	93864	107529	13665
4	95728	107220	11492
4	97455	106582	9127
4	96989	106917	9928
4	96420	106982	10562
4	97822	107168	9346
4	96825	107205	10380
4	96580	106847	10267
4	100177	106769	6592
4	95121	107350	12229
4	97605	106821	9216
4	92969	107364	14395
4	97630	107015	9385
4	98407	106755	8348
4	98640	106717	8077
4	99036	106228	7192
4	96464	105918	9454
4	97475	106624	9149
4	93792	107071	13279
4	97950	107217	9267
4	98683	107137	8454
4	97466	106584	9118
4	96487	106540	10053
4	97093	107199	10106
4	96676	107009	10333
4	99670	105730	6060
4	96443	107117	10674
4	98347	106429	8082
5	96352	107436	11084
5	96507	107595	11088
5	97340	107193	9853
5	96642	107288	10646
5	97518	106954	9436
5	96670	107310	10640
5	97355	106933	9578
5	95054	107099	12045
5	95877	107090	11213
5	96428	107476	11048
5	97582	107087	9505
5	96239	107259	11020
5	96357	107568	11211
5	95183	107223	12040
5	94493	107187	12694
5	95895	107563	11668
5	96917	107371	10454
5	95522	107409	11887
5	95052	107267	12215
5	98099	107219	9120
5	99044	107222	8178
5	95771	107419	11648
5	96577	106865	10288
5	95036	107193	12157
5	95237	107492	12255
5	96461	107471	11010
5	97911	107154	9243
5	95862	107195	11333
5	95228	107583	12355
5	97411	106563	9152
5	96431	107225	10794
