Combinations	core	pangenome	variable
2	52766	55891	3125
2	53315	55697	2382
2	53527	57183	3656
2	53239	57226	3987
2	52601	56301	3700
2	53299	55877	2578
2	53234	56282	3048
2	52955	55652	2697
2	52547	56540	3993
2	54347	57113	2766
2	53945	56417	2472
2	53355	56142	2787
2	53041	55795	2754
2	53188	55326	2138
2	54022	57304	3282
2	52878	56379	3501
2	53613	56896	3283
2	53415	55676	2261
2	52760	56019	3259
2	53603	56956	3353
2	53149	56568	3419
2	53442	55674	2232
2	53403	57472	4069
2	53249	56356	3107
2	53028	56572	3544
2	52763	56270	3507
2	52925	56378	3453
2	52540	56173	3633
2	53316	56760	3444
2	53087	56575	3488
2	52978	56506	3528
2	53972	57328	3356
2	52536	56398	3862
2	52727	56381	3654
2	53721	57621	3900
2	52806	56512	3706
2	52674	56627	3953
2	53041	55963	2922
2	52953	56543	3590
2	53202	55321	2119
2	53986	56953	2967
2	52775	56390	3615
2	52872	56010	3138
2	52414	56200	3786
2	53781	56969	3188
2	53177	56787	3610
2	52441	56252	3811
2	52536	56296	3760
2	52988	56440	3452
2	53041	56498	3457
2	53610	57060	3450
2	52545	56295	3750
2	54281	57422	3141
2	53579	56783	3204
2	52476	56435	3959
2	52335	56222	3887
2	52976	56396	3420
2	52777	56576	3799
2	53072	56794	3722
2	54886	57538	2652
2	52792	56466	3674
2	52563	55854	3291
2	52896	56014	3118
2	52747	55839	3092
2	53281	57203	3922
2	52594	56177	3583
2	52466	56375	3909
2	54705	57573	2868
2	52941	56474	3533
2	52838	56321	3483
2	54469	57170	2701
2	53224	56564	3340
2	52639	55900	3261
2	53808	57098	3290
2	52811	56320	3509
2	52625	56204	3579
2	53510	57008	3498
2	54292	57418	3126
2	54369	57927	3558
2	53039	56520	3481
2	52762	56211	3449
2	53354	55643	2289
2	52418	56245	3827
2	52818	55926	3108
2	53025	56710	3685
2	53436	56856	3420
3	52275	57337	5062
3	53181	57046	3865
3	52291	57440	5149
3	52210	57056	4846
3	51398	56795	5397
3	51983	56588	4605
3	51953	56738	4785
3	51663	56770	5107
3	51883	56951	5068
3	52467	57492	5025
3	52039	56684	4645
3	52234	57693	5459
3	51428	56977	5549
3	51732	57141	5409
3	52123	57390	5267
3	52721	57976	5255
3	51993	56397	4404
3	51878	56709	4831
3	51846	56653	4807
3	52115	56416	4301
3	51812	56757	4945
3	51424	56758	5334
3	51773	57561	5788
3	51603	56814	5211
3	51501	57087	5586
3	52124	57521	5397
3	53848	57951	4103
3	51991	56672	4681
3	51986	56779	4793
