Combinations	core	pangenome	variable
2	50413	56819	6406
2	50984	57499	6515
2	53450	57200	3750
2	51793	56375	4582
2	48854	55084	6230
2	52509	56828	4319
2	50314	55652	5338
2	50924	56803	5879
2	50061	57203	7142
2	51015	56353	5338
2	50187	57396	7209
2	50566	57551	6985
2	48228	55387	7159
2	50687	56329	5642
2	51150	57032	5882
2	50701	56778	6077
2	51519	58093	6574
2	51052	57342	6290
2	50980	55086	4106
2	51376	57459	6083
2	49624	55878	6254
2	52054	57542	5488
2	51711	57926	6215
2	51943	58502	6559
2	49284	56686	7402
2	50315	55919	5604
2	51463	57606	6143
2	52383	57581	5198
2	51228	57313	6085
2	52154	57123	4969
2	51792	56990	5198
2	50271	56198	5927
2	49703	56520	6817
2	50933	56337	5404
2	51264	56241	4977
2	50297	57191	6894
2	51357	56928	5571
2	52014	57235	5221
2	50709	56105	5396
2	49493	56766	7273
2	50868	56933	6065
2	50164	56180	6016
2	49685	56359	6674
2	52995	56983	3988
2	50353	55912	5559
2	50840	56807	5967
2	52060	57848	5788
2	51776	57299	5523
2	52054	57744	5690
2	50189	57139	6950
2	52514	58440	5926
2	51662	55144	3482
2	50746	56827	6081
2	50522	56176	5654
2	50308	55716	5408
2	49043	55875	6832
2	50558	57330	6772
2	52261	57234	4973
2	52524	56617	4093
2	49811	55952	6141
2	50273	57087	6814
2	49485	56205	6720
2	50504	56357	5853
2	50953	56296	5343
2	50639	56924	6285
2	49810	56647	6837
2	51594	57595	6001
2	51284	57093	5809
2	51147	56244	5097
2	50440	56276	5836
3	48466	58237	9771
3	48576	57453	8877
3	48741	57397	8656
3	48876	57164	8288
3	49675	58866	9191
3	51199	58623	7424
3	48339	57997	9658
3	48833	57388	8555
3	50455	58073	7618
3	49329	58576	9247
3	49730	58712	8982
3	48664	57213	8549
3	50462	58870	8408
3	50096	57305	7209
3	48797	58372	9575
3	51622	58141	6519
3	51142	58731	7589
3	49610	58830	9220
3	48194	57493	9299
3	50761	59091	8330
3	49484	58136	8652
3	49499	57972	8473
3	48129	58446	10317
3	49756	58522	8766
3	48045	58259	10214
3	48829	56886	8057
3	49169	58133	8964
3	48531	57521	8990
3	48796	57866	9070
3	48901	58152	9251
3	50275	57787	7512
3	47759	57810	10051
3	49626	58502	8876
3	48141	57553	9412
3	49278	57026	7748
3	49501	57952	8451
3	51602	58656	7054
3	49694	58990	9296
3	47557	57048	9491
3	49413	58356	8943
3	48696	57235	8539
3	48888	57345	8457
3	50242	59162	8920
3	48727	57438	8711
3	49700	58016	8316
3	50305	58119	7814
3	48184	57579	9395
3	50770	58496	7726
3	49770	58250	8480
3	50082	57865	7783
3	51197	57987	6790
3	49525	57293	7768
3	48369	58150	9781
3	50044	58592	8548
3	48857	58431	9574
3	49474	57925	8451
3	49222	57834	8612
3	50276	58005	7729
3	50308	58791	8483
3	49211	57604	8393
3	48769	57603	8834
3	48221	57327	9106
3	47071	57804	10733
3	50719	58622	7903
3	48320	58286	9966
3	49772	58021	8249
3	48182	57454	9272
3	47748	57781	10033
3	49826	56300	6474
3	49572	57690	8118
3	48363	58027	9664
4	48609	58626	10017
4	47216	58056	10840
4	48708	58582	9874
4	47746	59110	11364
4	49689	58785	9096
4	49333	59014	9681
4	48578	58600	10022
4	47906	58161	10255
4	46976	58638	11662
4	48445	58014	9569
4	48123	58940	10817
4	47314	58759	11445
4	47661	59091	11430
4	47273	58536	11263
4	49077	59216	10139
4	49768	59510	9742
4	47966	59149	11183
4	47503	59100	11597
4	48531	58709	10178
4	49397	58294	8897
4	48234	58909	10675
4	49587	59121	9534
4	48939	59061	10122
4	47433	58701	11268
4	47220	58530	11310
4	48529	58340	9811
4	48876	58065	9189
4	48674	57698	9024
4	48206	58609	10403
4	50526	58822	8296
4	46098	58087	11989
4	48268	58990	10722
4	48305	59013	10708
4	49152	58183	9031
4	49321	58984	9663
4	48712	57364	8652
4	47588	58446	10858
4	48104	59249	11145
4	47601	58528	10927
4	47901	58990	11089
4	50705	59196	8491
4	48372	58949	10577
4	47681	58278	10597
4	47642	57681	10039
4	47219	58507	11288
4	48254	58330	10076
4	47893	58470	10577
4	49420	58488	9068
4	47886	57808	9922
4	48417	58735	10318
4	46615	58237	11622
4	47415	58476	11061
4	48382	59241	10859
4	47552	58600	11048
4	47142	57948	10806
4	46700	58669	11969
4	48835	59057	10222
4	48738	58784	10046
4	49382	59258	9876
4	47045	58638	11593
4	48416	58786	10370
4	47497	58851	11354
4	48427	57691	9264
4	47513	58521	11008
4	46956	58933	11977
4	48166	58273	10107
4	48734	57979	9245
4	48869	58920	10051
4	48353	58567	10214
4	48770	58625	9855
4	50115	58158	8043
5	46851	58642	11791
5	48166	59255	11089
5	47879	59277	11398
5	47748	59102	11354
5	47060	59103	12043
5	46260	59200	12940
5	46331	58612	12281
5	47703	59204	11501
5	46887	59368	12481
5	47716	58703	10987
5	45873	58217	12344
5	47890	59463	11573
5	46686	58242	11556
5	47041	58759	11718
5	46587	58630	12043
5	47294	58651	11357
5	46642	58900	12258
5	47979	59395	11416
5	46693	58907	12214
5	45300	57861	12561
5	48289	59380	11091
5	46536	58287	11751
5	48824	59267	10443
5	46431	58736	12305
5	47516	59027	11511
5	46937	58824	11887
5	46376	59244	12868
5	47945	58764	10819
5	49076	59504	10428
5	48068	58975	10907
5	47426	58255	10829
5	47952	58749	10797
5	48429	59344	10915
5	48455	58903	10448
5	46763	59268	12505
5	47865	58174	10309
5	46889	58596	11707
5	47237	59072	11835
5	47220	59071	11851
5	47353	59143	11790
5	46954	58916	11962
5	46235	59142	12907
5	47385	59128	11743
5	47127	59084	11957
5	46817	58876	12059
5	47457	58824	11367
5	45286	58595	13309
5	46714	59019	12305
5	46890	58919	12029
5	47760	59565	11805
5	47281	58975	11694
5	47756	59262	11506
5	46764	58658	11894
5	47142	58692	11550
5	46968	58732	11764
5	46642	57983	11341
5	47659	58237	10578
5	46708	58449	11741
5	45817	58170	12353
5	47306	58713	11407
5	47398	59263	11865
5	46617	58984	12367
5	46772	58853	12081
5	47359	58108	10749
5	47962	59194	11232
5	47362	59500	12138
5	46483	57544	11061
5	47048	58487	11439
5	46472	58297	11825
5	47689	59469	11780
5	46805	58235	11430
6	47333	59628	12295
6	45705	59087	13382
6	45582	58579	12997
6	45153	58957	13804
6	47310	59372	12062
6	47363	58853	11490
6	46400	59259	12859
6	46550	59174	12624
6	46249	59403	13154
6	45554	59250	13696
6	46980	59307	12327
6	45278	59122	13844
6	45846	59224	13378
6	48507	58531	10024
6	47298	59460	12162
6	45793	59143	13350
6	45632	58700	13068
6	45543	59388	13845
6	46351	59360	13009
6	46409	59455	13046
6	46270	59465	13195
6	46036	58306	12270
6	47204	59446	12242
6	46389	59555	13166
6	46739	58413	11674
