Combinations	core	pangenome	variable
2	116774	129771	12997
2	118327	130538	12211
2	119870	129338	9468
2	117466	131060	13594
2	120828	129612	8784
2	118781	130554	11773
2	120340	129138	8798
2	122483	129986	7503
2	123406	128833	5427
2	120882	129395	8513
2	122087	127784	5697
2	116402	129927	13525
2	120793	129190	8397
2	120632	129188	8556
2	123208	130647	7439
2	121238	129602	8364
2	120352	130152	9800
2	117552	129313	11761
2	122176	129835	7659
2	122069	129680	7611
2	121953	130115	8162
2	120109	129116	9007
2	119909	129582	9673
2	121793	130429	8636
2	119104	129927	10823
2	123956	129851	5895
2	122394	129673	7279
2	123667	129845	6178
2	119688	130080	10392
2	120258	129978	9720
2	122507	129847	7340
2	117294	129859	12565
2	123868	129688	5820
2	119018	130318	11300
2	122449	130501	8052
2	121970	127397	5427
2	119569	130984	11415
2	121589	128930	7341
2	119162	129958	10796
2	120654	129313	8659
2	119959	129555	9596
2	123541	130359	6818
2	119732	129215	9483
2	121842	128969	7127
2	118686	130025	11339
2	121921	131397	9476
2	125650	131886	6236
2	124774	130069	5295
2	120919	129243	8324
2	120412	129770	9358
2	122993	128760	5767
2	118489	130440	11951
2	120802	129198	8396
2	124093	129904	5811
2	118557	130699	12142
2	121229	130440	9211
2	121789	128708	6919
2	122420	131482	9062
2	119320	129015	9695
2	121185	130100	8915
2	120040	129952	9912
2	122279	127749	5470
2	117590	130282	12692
2	119196	129500	10304
2	120610	130728	10118
2	122366	130393	8027
2	120371	130954	10583
2	120499	130111	9612
2	124285	130605	6320
2	116803	130806	14003
2	121220	130233	9013
3	119177	131025	11848
3	120847	131053	10206
3	118267	131418	13151
3	114547	131615	17068
3	114265	131808	17543
3	119947	130941	10994
3	116156	130566	14410
3	121416	129956	8540
3	121158	130847	9689
3	124478	131606	7128
3	116758	130748	13990
3	111148	131501	20353
3	119756	130644	10888
3	119226	131419	12193
3	117303	130546	13243
3	118007	131548	13541
3	120575	130813	10238
3	120013	130437	10424
3	116847	131752	14905
3	120194	129719	9525
3	120555	131335	10780
3	110995	131738	20743
3	118676	130502	11826
3	121188	130999	9811
3	122128	131257	9129
3	122681	131485	8804
3	114357	130721	16364
3	119282	130622	11340
3	121211	130563	9352
3	112056	131628	19572
3	122226	131681	9455
3	115768	131715	15947
3	117458	131167	13709
3	118063	130895	12832
3	119226	130680	11454
3	119785	130967	11182
3	122195	130369	8174
3	119860	131185	11325
3	121358	131000	9642
3	119665	131024	11359
3	118800	131154	12354
3	113003	131542	18539
3	113792	131542	17750
3	115735	131106	15371
3	121410	129685	8275
3	118540	130336	11796
3	119882	130732	10850
3	114856	131586	16730
3	120268	131075	10807
3	120460	130544	10084
3	114274	131869	17595
3	116773	131881	15108
3	122353	131196	8843
3	112886	131425	18539
3	117737	131149	13412
3	115291	131162	15871
3	114051	131041	16990
3	114703	131690	16987
3	120397	130399	10002
3	115261	131551	16290
3	110841	131694	20853
3	115864	130691	14827
3	119152	130240	11088
3	123268	131146	7878
3	120773	131422	10649
3	122361	130070	7709
3	117704	131742	14038
3	122146	130870	8724
3	116392	131652	15260
3	121885	129509	7624
3	118947	131083	12136
3	120103	131952	11849
4	116631	131714	15083
4	110442	131990	21548
4	113105	131976	18871
4	118829	131949	13120
4	116460	132141	15681
4	118407	131267	12860
4	118316	131387	13071
4	115048	131344	16296
4	115153	131919	16766
4	117893	130313	12420
4	113688	131777	18089
4	114092	132124	18032
4	111632	131997	20365
4	116840	131741	14901
4	118407	130620	12213
4	120338	129241	8903
4	117912	131545	13633
4	113429	131940	18511
4	118026	130565	12539
4	115794	131709	15915
4	117312	131413	14101
4	115435	131202	15767
4	115259	131383	16124
4	108425	132138	23713
4	119171	128781	9610
4	115917	132219	16302
4	112076	132073	19997
4	112409	131926	19517
4	112482	131929	19447
4	112949	131803	18854
4	113644	132169	18525
4	116524	131408	14884
4	116515	131938	15423
4	113757	131621	17864
4	117383	130944	13561
4	111982	132049	20067
4	120381	129835	9454
4	109236	132025	22789
4	112518	131899	19381
4	116954	131525	14571
4	118280	131873	13593
4	119108	131643	12535
4	109789	132088	22299
4	120190	131746	11556
4	118147	130881	12734
4	111953	132065	20112
4	115119	131579	16460
4	118281	131541	13260
4	119278	131618	12340
4	108778	131934	23156
4	117850	131129	13279
4	114851	131661	16810
4	118716	131940	13224
4	112528	131683	19155
4	118403	131582	13179
4	118379	131806	13427
4	109504	132023	22519
4	115977	132186	16209
4	113619	132166	18547
4	119895	130878	10983
4	119563	131134	11571
4	115163	131530	16367
4	115567	131836	16269
4	112136	132017	19881
4	116099	132332	16233
4	114347	131814	17467
4	115559	131754	16195
4	118801	132358	13557
4	113591	132194	18603
4	117184	131503	14319
4	111402	131987	20585
4	117496	131551	14055
5	109973	132143	22170
5	115055	132059	17004
5	107188	132289	25101
5	110241	132297	22056
5	112874	132189	19315
5	107769	132092	24323
5	107083	132273	25190
5	112356	132353	19997
5	116504	131625	15121
5	113995	131477	17482
5	115053	132256	17203
5	109829	132281	22452
5	115212	132151	16939
5	115050	132134	17084
5	111833	132059	20226
5	115204	131267	16063
5	117061	131202	14141
5	115407	131606	16199
5	114696	132230	17534
5	113724	131886	18162
5	118091	131423	13332
5	115245	131861	16616
5	116069	132103	16034
5	118268	130383	12115
5	116324	131690	15366
5	115226	131991	16765
5	117174	131450	14276
5	113086	131461	18375
5	110102	132030	21928
5	112005	132275	20270
5	106635	132197	25562
5	114351	132347	17996
5	107553	132307	24754
5	111717	132261	20544
5	103688	132454	28766
5	109250	132030	22780
5	110444	131665	21221
5	115218	131946	16728
5	106338	132049	25711
5	114646	132282	17636
5	110328	132428	22100
5	115108	131831	16723
5	117048	131811	14763
5	111915	131932	20017
5	114416	131939	17523
5	117572	132171	14599
5	114781	131976	17195
5	113146	131781	18635
5	114553	131543	16990
5	114579	131791	17212
5	112898	131134	18236
5	109283	132186	22903
5	113173	131839	18666
5	112484	132299	19815
5	113397	131742	18345
5	112683	131810	19127
5	116374	131515	15141
5	117573	131786	14213
5	106889	132351	25462
5	116009	131537	15528
5	113556	132114	18558
5	118528	131566	13038
5	111301	131829	20528
5	116354	131653	15299
5	118632	131844	13212
5	109716	132180	22464
5	110520	132200	21680
5	110227	131772	21545
5	117343	131784	14441
5	113272	131620	18348
5	107221	132200	24979
5	108765	132362	23597
6	108237	132497	24260
6	108580	132309	23729
6	108056	132067	24011
6	111065	132287	21222
6	110284	132348	22064
6	111229	132277	21048
6	108349	132448	24099
6	114686	131945	17259
6	107465	132353	24888
6	109555	132262	22707
6	104753	132342	27589
6	116603	131351	14748
6	110632	132413	21781
6	110215	132003	21788
6	112942	132108	19166
6	109654	132326	22672
6	111582	131814	20232
6	116281	131553	15272
6	113967	131541	17574
6	106995	132461	25466
6	111732	132295	20563
6	110419	131996	21577
6	106699	132337	25638
6	107237	132169	24932
6	109921	132036	22115
6	115432	131523	16091
6	114405	131875	17470
6	108992	132043	23051
6	110669	132260	21591
6	114111	131951	17840
6	114803	131924	17121
6	112558	132391	19833
6	109596	132346	22750
6	110158	132465	22307
6	110703	132057	21354
6	114734	132124	17390
6	114859	131853	16994
6	110272	131986	21714
6	111962	132152	20190
6	114851	131741	16890
6	106563	132496	25933
6	110386	132230	21844
6	114173	132199	18026
6	108887	132361	23474
6	116984	132001	15017
6	111101	132438	21337
6	107040	132175	25135
6	109326	132142	22816
6	107079	132551	25472
6	104583	132362	27779
6	116784	131933	15149
6	113147	131897	18750
6	110239	132439	22200
6	110078	132494	22416
6	115650	131858	16208
6	107630	132220	24590
6	106988	132328	25340
6	109856	132006	22150
6	111662	132186	20524
6	113397	132319	18922
6	114874	131697	16823
6	113541	131970	18429
6	114843	131643	16800
6	116955	131773	14818
6	114370	131824	17454
6	112643	132057	19414
6	114027	132415	18388
6	114111	131856	17745
6	110675	132026	21351
6	111477	132301	20824
6	117315	131760	14445
6	110922	132128	21206
7	107679	132190	24511
7	108970	132005	23035
7	111652	131841	20189
7	103445	132529	29084
7	114213	131626	17413
7	111667	132245	20578
7	104454	132544	28090
7	106027	132495	26468
7	109920	132543	22623
7	110098	132144	22046
7	107121	132249	25128
7	105936	132323	26387
7	104773	132432	27659
7	112352	132281	19929
7	104086	132412	28326
7	108340	132194	23854
7	108912	132044	23132
7	108603	132318	23715
7	105814	132617	26803
7	107556	132426	24870
7	112193	132346	20153
7	108358	132270	23912
7	104459	132369	27910
7	106888	132046	25158
7	107684	132230	24546
7	105437	132542	27105
7	106072	132292	26220
7	108778	132595	23817
7	109413	132480	23067
7	112598	132038	19440
7	111748	132138	20390
7	109186	131960	22774
7	106953	132020	25067
7	110306	132523	22217
7	110098	132205	22107
7	108536	132394	23858
7	115335	132200	16865
7	106643	132102	25459
7	108494	132331	23837
7	112360	132379	20019
7	107804	132503	24699
7	110361	132190	21829
7	108237	132435	24198
7	117176	132170	14994
7	110962	132370	21408
7	114022	132356	18334
7	114521	132185	17664
7	106103	132339	26236
7	109954	132400	22446
7	110961	131740	20779
7	109014	132372	23358
7	104357	132359	28002
7	110953	132514	21561
7	109902	132349	22447
7	109355	132217	22862
7	110678	132355	21677
7	109650	132055	22405
7	107629	132209	24580
7	114214	132075	17861
7	111326	132400	21074
7	111506	132550	21044
7	115926	131856	15930
7	109357	132123	22766
7	110170	131764	21594
7	111106	131815	20709
7	115451	131976	16525
7	104884	132483	27599
7	111054	132435	21381
7	112769	132074	19305
7	109640	131920	22280
7	109010	132596	23586
7	102944	132557	29613
8	111791	131888	20097
8	105344	132528	27184
8	108796	132423	23627
8	105038	132525	27487
8	100924	132567	31643
8	105984	132385	26401
8	105640	132580	26940
8	106187	132547	26360
8	104887	132415	27528
8	107916	132080	24164
8	105996	132230	26234
8	104850	132590	27740
8	108382	132595	24213
8	105543	132523	26980
8	112514	131825	19311
8	103795	132493	28698
8	110489	132054	21565
8	111280	132441	21161
8	108348	132602	24254
8	104737	132581	27844
8	100804	132606	31802
8	102337	132500	30163
8	110079	132155	22076
8	107155	132296	25141
8	106125	132501	26376
8	101228	132699	31471
8	109452	131987	22535
8	106573	132446	25873
8	104978	132653	27675
8	111239	131970	20731
8	110389	132519	22130
8	108129	132539	24410
8	114939	132116	17177
8	106799	132512	25713
8	115191	131807	16616
8	104641	132622	27981
8	111820	132538	20718
8	107358	132459	25101
8	107268	132513	25245
8	108513	132318	23805
8	103202	132544	29342
8	110115	132453	22338
8	108366	132129	23763
8	113408	132028	18620
8	107540	132610	25070
8	105333	132468	27135
8	110215	132153	21938
8	107795	132438	24643
8	102854	132493	29639
8	110170	132465	22295
8	108736	132510	23774
8	111079	132587	21508
8	113270	131830	18560
8	108866	132141	23275
8	109056	132484	23428
8	111292	132021	20729
8	106309	132300	25991
8	108384	132497	24113
8	112348	132163	19815
8	104433	132103	27670
8	106575	132366	25791
8	102719	132482	29763
8	112847	132494	19647
8	112515	132296	19781
8	110271	131954	21683
8	107882	132501	24619
8	103219	132459	29240
8	111815	132414	20599
8	106908	132436	25528
8	109588	132523	22935
8	108643	132316	23673
8	107043	132383	25340
9	108528	132168	23640
9	110305	132429	22124
9	108482	132274	23792
9	101075	132661	31586
9	108794	132373	23579
9	104452	132677	28225
9	103670	132455	28785
9	114850	132024	17174
9	111261	132556	21295
9	106797	132561	25764
9	110107	132206	22099
9	104284	132491	28207
9	108924	132448	23524
9	101858	132642	30784
9	106749	132498	25749
9	107290	132208	24918
9	101254	132576	31322
9	102845	132245	29400
9	103111	132434	29323
9	112968	132592	19624
9	106178	132564	26386
9	106642	132677	26035
9	110053	132170	22117
9	108751	132501	23750
9	100971	132688	31717
9	100718	132507	31789
9	103482	132582	29100
9	102786	132577	29791
9	109338	132539	23201
9	98519	132595	34076
9	110025	132382	22357
9	109191	132541	23350
9	107771	132525	24754
9	103500	132587	29087
9	108377	132654	24277
9	103275	132563	29288
9	102138	132674	30536
9	106013	132348	26335
9	110224	132291	22067
9	110671	132212	21541
9	102465	132559	30094
9	102749	132617	29868
9	110560	132496	21936
9	103970	132640	28670
9	112202	131956	19754
9	104975	132386	27411
9	106833	132498	25665
9	108720	132108	23388
9	103867	132638	28771
9	113354	132001	18647
9	106246	132396	26150
9	109062	132532	23470
9	110690	132166	21476
9	110307	132309	22002
9	103904	132578	28674
9	108990	132537	23547
9	102508	132452	29944
9	108615	132566	23951
9	107621	132335	24714
9	98573	132657	34084
9	107103	132459	25356
9	103505	132477	28972
9	104935	132328	27393
9	104281	132726	28445
9	103810	132326	28516
9	109442	131978	22536
9	103800	132397	28597
9	112401	132183	19782
9	114064	132362	18298
9	100928	132579	31651
9	100482	132472	31990
9	111006	132417	21411
10	105414	132622	27208
10	99108	132656	33548
10	102779	132588	29809
10	97481	132709	35228
10	104793	132502	27709
10	104540	132653	28113
10	103204	132594	29390
10	107884	132644	24760
10	104624	132520	27896
10	102880	132547	29667
10	107732	132691	24959
10	105068	132508	27440
10	100644	132670	32026
10	101311	132420	31109
10	98282	132579	34297
10	105798	132514	26716
10	106496	132332	25836
10	103969	132572	28603
10	103906	132563	28657
10	113060	132448	19388
10	104277	132546	28269
10	112932	132116	19184
10	108012	132383	24371
10	107451	132383	24932
10	104406	132300	27894
10	102888	132618	29730
10	101884	132658	30774
10	103754	132511	28757
10	107232	132551	25319
10	101422	132646	31224
10	99692	132531	32839
10	103926	132455	28529
10	108292	132672	24380
10	102202	132581	30379
10	105080	132397	27317
10	100678	132582	31904
10	109261	132499	23238
10	108245	132594	24349
10	105136	132483	27347
10	104018	132527	28509
10	105163	132480	27317
10	101773	132507	30734
10	104698	132508	27810
10	106658	132364	25706
10	106005	132548	26543
10	105717	132445	26728
10	102068	132637	30569
10	100564	132705	32141
10	104238	132336	28098
10	101072	132608	31536
10	106175	132470	26295
10	101229	132619	31390
10	109183	132309	23126
10	99356	132571	33215
10	108036	132131	24095
10	105097	132632	27535
10	105384	132460	27076
10	97396	132658	35262
10	103704	132520	28816
10	104199	132668	28469
10	105610	132519	26909
10	107391	132252	24861
10	109640	132441	22801
10	102676	132639	29963
10	103790	132524	28734
10	108585	132458	23873
10	112169	132083	19914
10	102959	132647	29688
10	103415	132630	29215
10	106218	132354	26136
10	106779	132459	25680
10	104109	132601	28492
11	107538	132529	24991
11	100996	132629	31633
11	109089	132573	23484
11	103956	132719	28763
11	103282	132525	29243
11	102638	132580	29942
11	102565	132594	30029
11	104649	132592	27943
11	108527	132665	24138
11	102513	132685	30172
11	105791	132587	26796
11	106190	132518	26328
11	102145	132739	30594
11	101155	132668	31513
11	103395	132438	29043
11	105027	132552	27525
11	105636	132440	26804
11	103617	132622	29005
11	97814	132716	34902
11	101391	132510	31119
11	106078	132428	26350
11	109170	132102	22932
11	103416	132584	29168
11	105212	132673	27461
11	98141	132677	34536
11	103284	132656	29372
11	104529	132600	28071
11	107829	132538	24709
11	108269	132153	23884
11	107442	132703	25261
11	107572	132385	24813
11	106504	132619	26115
11	107268	132674	25406
11	107788	132237	24449
11	101479	132581	31102
11	104439	132639	28200
11	107576	132327	24751
11	104634	132582	27948
11	101641	132675	31034
11	107731	132497	24766
11	106725	132409	25684
11	99558	132524	32966
11	100076	132590	32514
11	104907	132591	27684
11	103003	132698	29695
11	94555	132700	38145
11	101346	132698	31352
11	105131	132556	27425
11	102673	132607	29934
11	102580	132573	29993
11	101098	132647	31549
11	102081	132656	30575
11	101824	132671	30847
11	109057	132726	23669
11	103439	132462	29023
11	95800	132567	36767
11	106176	132639	26463
11	102349	132592	30243
11	104091	132653	28562
11	100517	132699	32182
11	103996	132597	28601
11	106134	132581	26447
11	106412	132417	26005
11	110281	132549	22268
11	100423	132652	32229
11	106123	132655	26532
11	110264	132655	22391
11	106564	132511	25947
11	105482	132544	27062
11	102104	132554	30450
11	101424	132726	31302
11	101879	132699	30820
12	102473	132629	30156
12	98474	132744	34270
12	105260	132565	27305
12	103270	132569	29299
12	106322	132532	26210
12	102079	132673	30594
12	102582	132640	30058
12	101496	132637	31141
12	105845	132628	26783
12	95030	132701	37671
12	108156	132625	24469
12	108133	132461	24328
12	112762	132239	19477
12	103124	132716	29592
12	101033	132723	31690
12	108533	132614	24081
12	103113	132697	29584
12	107678	132504	24826
12	102590	132651	30061
12	103133	132471	29338
12	97453	132733	35280
12	99886	132700	32814
12	100421	132715	32294
12	109157	132675	23518
12	104853	132554	27701
12	104818	132700	27882
12	107186	132431	25245
12	101090	132535	31445
12	100883	132600	31717
12	103290	132559	29269
12	105611	132556	26945
12	103144	132475	29331
12	103773	132604	28831
12	103128	132576	29448
12	100250	132665	32415
12	100613	132776	32163
12	105874	132620	26746
12	99442	132614	33172
12	100175	132641	32466
12	101196	132697	31501
12	102489	132697	30208
12	104095	132494	28399
12	96529	132718	36189
12	103772	132588	28816
12	105780	132610	26830
12	103462	132616	29154
12	104900	132583	27683
12	105117	132283	27166
12	101248	132719	31471
12	108945	132199	23254
12	101581	132718	31137
12	105848	132638	26790
12	98492	132602	34110
12	106532	132222	25690
12	105613	132444	26831
12	98216	132724	34508
12	106772	132539	25767
12	98205	132682	34477
12	101954	132555	30601
12	95328	132725	37397
12	99598	132632	33034
12	103332	132639	29307
12	97050	132585	35535
12	104714	132629	27915
12	103022	132536	29514
12	103980	132696	28716
12	102626	132670	30044
12	101040	132538	31498
12	103462	132715	29253
12	102644	132589	29945
12	108677	132528	23851
12	102227	132718	30491
13	104907	132490	27583
13	101384	132673	31289
13	104809	132651	27842
13	100256	132678	32422
13	94728	132729	38001
13	102527	132537	30010
13	101205	132702	31497
13	96884	132692	35808
13	99208	132653	33445
13	107565	132603	25038
13	99296	132707	33411
13	100850	132737	31887
13	96897	132692	35795
13	107690	132643	24953
13	103046	132665	29619
13	110561	132462	21901
13	101897	132595	30698
13	94615	132735	38120
13	104454	132614	28160
13	98268	132688	34420
13	106229	132736	26507
13	102588	132662	30074
13	102064	132650	30586
13	106788	132517	25729
13	100586	132697	32111
13	107683	132222	24539
13	97901	132667	34766
13	100080	132650	32570
13	99753	132626	32873
13	100513	132587	32074
13	101980	132511	30531
13	98891	132728	33837
13	99964	132641	32677
13	102922	132635	29713
13	104969	132481	27512
13	100253	132722	32469
13	97531	132721	35190
13	102106	132600	30494
13	102765	132620	29855
13	105137	132497	27360
13	103085	132750	29665
13	104652	132672	28020
13	100739	132599	31860
13	101533	132704	31171
13	100350	132601	32251
13	99051	132674	33623
13	99687	132746	33059
13	103454	132744	29290
13	95893	132674	36781
13	99739	132670	32931
13	108107	132644	24537
13	99362	132680	33318
13	109458	132443	22985
13	98231	132672	34441
13	102355	132667	30312
13	97788	132684	34896
13	106535	132275	25740
13	98404	132608	34204
13	96279	132738	36459
13	107189	132233	25044
13	103806	132625	28819
13	104247	132473	28226
13	99151	132660	33509
13	101494	132687	31193
13	99976	132665	32689
13	101275	132605	31330
13	104820	132482	27662
13	99635	132635	33000
13	105899	132508	26609
13	102039	132751	30712
13	100517	132669	32152
13	104087	132600	28513
14	100953	132723	31770
14	100946	132606	31660
14	99683	132745	33062
14	104211	132655	28444
14	100335	132642	32307
14	105337	132614	27277
14	102316	132597	30281
14	102151	132658	30507
14	101717	132681	30964
14	101759	132568	30809
14	98971	132584	33613
14	94580	132746	38166
14	103130	132444	29314
14	104204	132732	28528
14	100336	132590	32254
14	102993	132660	29667
14	102790	132611	29821
14	98552	132677	34125
14	97974	132670	34696
14	103856	132650	28794
14	98955	132691	33736
14	98039	132670	34631
14	102968	132637	29669
14	97146	132630	35484
14	105647	132548	26901
14	104512	132703	28191
14	100321	132740	32419
14	108205	132474	24269
14	103539	132604	29065
14	98937	132670	33733
14	96065	132703	36638
14	107533	132631	25098
14	100879	132675	31796
14	97084	132694	35610
14	99595	132381	32786
14	97548	132684	35136
14	99940	132679	32739
14	104659	132380	27721
14	101960	132574	30614
14	96547	132782	36235
14	110758	132218	21460
14	102185	132670	30485
14	102635	132564	29929
14	101834	132648	30814
14	97365	132728	35363
14	99171	132745	33574
14	104682	132656	27974
14	100169	132676	32507
14	97278	132734	35456
14	99607	132705	33098
14	101282	132603	31321
14	99394	132722	33328
14	104226	132591	28365
14	96860	132775	35915
14	103431	132631	29200
14	105716	132441	26725
14	96714	132734	36020
14	101076	132728	31652
14	103381	132578	29197
14	109133	132545	23412
14	97617	132660	35043
14	100975	132745	31770
14	97531	132710	35179
14	99389	132734	33345
14	105717	132651	26934
14	101538	132742	31204
14	100031	132633	32602
14	100981	132716	31735
14	106454	132686	26232
14	99641	132633	32992
14	100736	132701	31965
14	98567	132667	34100
15	97841	132768	34927
15	103131	132741	29610
15	102582	132700	30118
15	102308	132697	30389
15	106041	132409	26368
15	102005	132702	30697
15	100009	132721	32712
15	100793	132717	31924
15	97191	132683	35492
15	100750	132748	31998
15	98915	132774	33859
15	100461	132647	32186
15	95170	132742	37572
15	97956	132632	34676
15	98502	132674	34172
15	97432	132719	35287
15	100530	132520	31990
15	97979	132760	34781
15	104750	132560	27810
15	103000	132736	29736
15	105675	132697	27022
15	97378	132711	35333
15	98795	132773	33978
15	102930	132670	29740
15	98776	132712	33936
15	98460	132750	34290
15	102657	132688	30031
15	90244	132765	42521
15	95418	132689	37271
15	104639	132702	28063
15	102818	132664	29846
15	104730	132711	27981
15	105646	132670	27024
15	98840	132755	33915
15	99358	132739	33381
15	100884	132701	31817
15	99387	132645	33258
15	100698	132695	31997
15	99383	132709	33326
15	100086	132720	32634
15	99404	132703	33299
15	99178	132731	33553
15	96611	132776	36165
15	93323	132735	39412
15	95843	132781	36938
15	104340	132632	28292
15	107326	132470	25144
15	101916	132634	30718
15	98432	132655	34223
15	99944	132692	32748
15	102440	132696	30256
15	103913	132696	28783
15	101961	132670	30709
15	96782	132738	35956
15	98318	132669	34351
15	95865	132669	36804
15	101035	132698	31663
15	96377	132757	36380
15	101397	132621	31224
15	102370	132686	30316
15	100628	132669	32041
15	96539	132699	36160
15	95791	132755	36964
15	96309	132710	36401
15	99504	132716	33212
15	108490	132569	24079
15	96433	132716	36283
15	102308	132400	30092
15	94194	132702	38508
15	96329	132663	36334
15	97128	132673	35545
15	99825	132693	32868
16	99781	132656	32875
16	101841	132503	30662
16	101910	132616	30706
16	98358	132617	34259
16	104164	132664	28500
16	101770	132773	31003
16	99872	132718	32846
16	104752	132680	27928
16	102493	132455	29962
16	100692	132620	31928
16	97094	132728	35634
16	97311	132653	35342
16	99963	132718	32755
16	104900	132662	27762
16	101802	132611	30809
16	99972	132767	32795
16	101959	132572	30613
16	98125	132734	34609
16	97001	132667	35666
16	100041	132763	32722
16	100955	132728	31773
16	96637	132680	36043
16	104592	132672	28080
16	98176	132732	34556
16	99559	132781	33222
16	100995	132635	31640
16	101538	132734	31196
16	98958	132696	33738
16	100652	132701	32049
16	93748	132694	38946
16	98454	132700	34246
16	95327	132732	37405
16	100991	132537	31546
16	99581	132772	33191
16	101930	132661	30731
16	100149	132678	32529
16	104120	132615	28495
16	103711	132600	28889
16	97059	132776	35717
16	98591	132675	34084
16	104063	132586	28523
16	98045	132754	34709
16	94367	132752	38385
16	100517	132600	32083
16	95396	132699	37303
16	100758	132656	31898
16	95237	132754	37517
16	100706	132736	32030
16	98735	132733	33998
16	94231	132724	38493
16	98116	132696	34580
16	96120	132778	36658
16	101253	132681	31428
16	102660	132611	29951
16	102907	132708	29801
16	96483	132785	36302
16	97848	132759	34911
16	96794	132756	35962
16	101094	132695	31601
16	101112	132685	31573
16	93557	132755	39198
16	100264	132703	32439
16	98555	132588	34033
16	95666	132744	37078
16	101141	132698	31557
16	99269	132709	33440
16	100036	132759	32723
16	96693	132765	36072
16	98121	132726	34605
16	96034	132788	36754
16	97765	132704	34939
16	99952	132749	32797
17	96664	132750	36086
17	97689	132619	34930
17	100636	132751	32115
17	100637	132643	32006
17	99705	132578	32873
17	101184	132703	31519
17	98502	132788	34286
17	97430	132724	35294
17	99147	132698	33551
17	95816	132783	36967
17	98754	132644	33890
17	98765	132625	33860
17	92060	132799	40739
17	96539	132729	36190
17	97684	132722	35038
17	94337	132776	38439
17	93301	132719	39418
17	97537	132684	35147
17	100052	132708	32656
17	95212	132702	37490
17	104868	132555	27687
17	102670	132717	30047
17	103946	132688	28742
17	94801	132796	37995
17	101872	132628	30756
17	97136	132742	35606
17	97221	132735	35514
17	98468	132737	34269
17	99635	132680	33045
17	100950	132766	31816
17	101292	132697	31405
17	92600	132757	40157
17	103787	132700	28913
17	93242	132787	39545
17	99592	132705	33113
17	91334	132786	41452
17	102817	132739	29922
17	98269	132728	34459
17	100279	132677	32398
17	101249	132673	31424
17	94094	132778	38684
17	98527	132549	34022
17	101264	132641	31377
17	100276	132793	32517
17	99110	132784	33674
17	107286	132428	25142
17	98046	132790	34744
17	96093	132785	36692
17	97573	132771	35198
17	99681	132701	33020
17	105329	132734	27405
17	99086	132746	33660
17	94974	132737	37763
17	100326	132718	32392
17	94634	132710	38076
17	95997	132761	36764
17	97884	132712	34828
17	93750	132773	39023
17	104542	132451	27909
17	99638	132728	33090
17	93502	132763	39261
17	97155	132735	35580
17	93201	132740	39539
17	99476	132745	33269
17	96827	132748	35921
17	96799	132798	35999
17	98742	132758	34016
17	98207	132727	34520
17	102369	132741	30372
17	102460	132622	30162
17	99464	132706	33242
17	105688	132484	26796
18	97486	132757	35271
18	97342	132736	35394
18	97009	132721	35712
18	98026	132739	34713
18	98046	132757	34711
18	94552	132815	38263
18	98374	132742	34368
18	98759	132781	34022
18	100893	132737	31844
18	97683	132724	35041
18	95310	132799	37489
18	101017	132695	31678
18	96009	132739	36730
18	97850	132666	34816
18	94894	132774	37880
18	95286	132784	37498
18	97815	132687	34872
18	99711	132691	32980
18	97283	132732	35449
18	96314	132755	36441
18	94161	132736	38575
18	97820	132735	34915
18	97217	132741	35524
18	100901	132648	31747
18	101357	132632	31275
18	103276	132733	29457
18	95874	132764	36890
18	102113	132710	30597
18	101954	132681	30727
18	101190	132670	31480
18	95922	132711	36789
18	97582	132732	35150
18	94703	132701	37998
18	92662	132777	40115
18	93503	132775	39272
18	96160	132719	36559
18	101491	132720	31229
18	98178	132690	34512
18	92463	132757	40294
18	95288	132754	37466
18	96749	132772	36023
18	101003	132758	31755
18	101877	132742	30865
18	100149	132753	32604
18	97471	132755	35284
18	98953	132655	33702
18	100753	132704	31951
18	94777	132758	37981
18	97128	132777	35649
18	100584	132708	32124
18	97625	132726	35101
18	97186	132662	35476
18	94901	132735	37834
18	103103	132664	29561
18	96460	132740	36280
18	100475	132650	32175
18	97313	132749	35436
18	92738	132775	40037
18	100788	132723	31935
18	101377	132737	31360
18	94536	132783	38247
18	100935	132673	31738
18	98189	132706	34517
18	97131	132764	35633
18	93883	132769	38886
18	94320	132788	38468
18	92271	132772	40501
18	97678	132702	35024
18	99738	132636	32898
18	93044	132730	39686
18	100736	132767	32031
18	99887	132766	32879
19	94354	132784	38430
19	99074	132602	33528
19	94531	132779	38248
19	94256	132759	38503
19	95450	132759	37309
19	92640	132781	40141
19	104330	132521	28191
19	93795	132781	38986
19	101612	132638	31026
19	98593	132767	34174
19	94003	132738	38735
19	92609	132791	40182
19	99490	132545	33055
19	95737	132753	37016
19	96168	132767	36599
19	100307	132741	32434
19	102096	132708	30612
19	98153	132788	34635
19	100157	132668	32511
19	97380	132722	35342
19	95108	132729	37621
19	98557	132704	34147
19	105356	132535	27179
19	101628	132726	31098
19	96331	132737	36406
19	93047	132799	39752
19	103120	132668	29548
19	95826	132781	36955
19	103722	132758	29036
19	97420	132727	35307
19	98872	132732	33860
19	94782	132779	37997
19	98082	132725	34643
19	96666	132715	36049
19	99412	132689	33277
19	97657	132794	35137
19	98439	132783	34344
19	96572	132738	36166
19	95559	132686	37127
19	98977	132726	33749
