Combinations	core	pangenome	variable
2	123307	130537	7230
2	120056	129475	9419
2	123808	129446	5638
2	122046	129943	7897
2	123846	129599	5753
2	121512	128847	7335
2	121048	129462	8414
2	122130	130012	7882
2	120928	130225	9297
2	122801	127565	4764
2	123009	128969	5960
2	122308	127650	5342
2	121813	127768	5955
2	122219	130011	7792
2	121975	129850	7875
2	122772	129659	6887
2	121446	127190	5744
2	121382	129858	8476
2	123143	130536	7393
2	121776	130024	8248
2	122007	129790	7783
2	123516	130738	7222
2	122162	130609	8447
2	122949	128991	6042
2	123005	128003	4998
2	122495	128857	6362
2	122277	126853	4576
2	124165	130083	5918
2	124236	130617	6381
2	123238	130049	6811
2	123543	130425	6882
2	119665	129749	10084
2	122045	129875	7830
2	124400	128894	4494
2	122108	128086	5978
2	122657	129910	7253
2	122544	130585	8041
2	122098	127961	5863
2	124700	130466	5766
2	121525	130130	8605
2	122321	127637	5316
2	121785	129868	8083
2	122652	129891	7239
2	122239	127838	5599
2	123787	130627	6840
2	121012	130367	9355
2	121664	130576	8912
2	120692	129721	9029
2	122667	127399	4732
2	123681	130059	6378
2	123157	130200	7043
2	122278	130278	8000
2	120511	130193	9682
3	120134	130394	10260
3	119723	130250	10527
3	120209	130438	10229
3	121279	129898	8619
3	121023	130824	9801
3	120760	130016	9256
3	119530	130525	10995
3	120167	130755	10588
3	120063	130924	10861
3	120678	128318	7640
3	120980	130736	9756
3	119768	130958	11190
3	120455	130618	10163
3	118954	131260	12306
3	121318	129943	8625
3	120383	129423	9040
3	119489	130801	11312
3	120718	130818	10100
3	118069	130923	12854
3	119766	131169	11403
3	121252	130917	9665
3	119679	131076	11397
3	119161	130564	11403
3	118042	130945	12903
3	117129	131300	14171
3	114167	131248	17081
3	119359	130675	11316
3	115215	130785	15570
3	122171	130436	8265
3	121425	130588	9163
3	120149	131201	11052
3	118258	130775	12517
3	119258	130866	11608
3	123056	130721	7665
3	121087	130724	9637
3	120746	130547	9801
3	120783	130805	10022
3	122096	130380	8284
3	120184	130841	10657
3	119257	131125	11868
3	119326	130465	11139
3	118830	130634	11804
3	115728	130430	14702
3	122310	131173	8863
3	120702	131215	10513
3	121789	129256	7467
3	121333	130631	9298
3	119888	131359	11471
3	118854	131310	12456
3	121064	130681	9617
3	119800	131018	11218
3	120602	130823	10221
3	120255	130826	10571
3	121655	131154	9499
4	115939	131010	15071
4	114993	131800	16807
4	118481	130886	12405
4	118182	131712	13530
4	117557	130983	13426
4	118043	131317	13274
4	116729	131272	14543
4	117317	130899	13582
4	116898	131396	14498
4	120457	131219	10762
4	119422	131260	11838
4	117247	131370	14123
4	116994	130713	13719
4	119023	131430	12407
4	115663	131837	16174
4	117210	131492	14282
4	117745	131605	13860
4	116468	131713	15245
4	118292	131290	12998
4	117032	131655	14623
4	115474	131250	15776
4	120056	130138	10082
4	117516	131537	14021
4	117739	131213	13474
4	119028	130832	11804
4	118916	131455	12539
4	116143	131649	15506
4	113403	131652	18249
4	114333	131383	17050
4	117733	131553	13820
4	117609	131623	14014
4	118517	131219	12702
4	116454	131654	15200
4	120048	130060	10012
4	118293	131318	13025
4	117690	131365	13675
4	118057	131524	13467
4	117012	131151	14139
4	119080	131311	12231
4	116468	131810	15342
4	117948	131267	13319
4	119906	131542	11636
4	116775	131391	14616
4	118606	131467	12861
4	118375	131320	12945
4	117053	131544	14491
4	115090	131704	16614
4	114116	131583	17467
4	118758	131605	12847
4	119221	131204	11983
4	114607	131428	16821
4	118451	130657	12206
4	118696	131253	12557
4	117974	130845	12871
5	115155	131522	16367
5	113027	131477	18450
5	116232	131828	15596
5	118136	131095	12959
5	113994	131763	17769
5	112677	132082	19405
5	115391	131695	16304
5	117345	131522	14177
5	117157	131698	14541
5	117422	131383	13961
5	119367	131445	12078
5	117646	131496	13850
5	117677	131493	13816
5	112948	131743	18795
5	119093	131550	12457
5	118288	131550	13262
5	115153	131583	16430
5	119253	131170	11917
5	116634	131310	14676
5	117359	131154	13795
5	112420	131839	19419
5	114693	131577	16884
5	114160	131819	17659
5	112568	131517	18949
5	115237	131908	16671
5	118356	131431	13075
5	117415	131679	14264
5	116967	131275	14308
5	115873	132031	16158
5	113845	131944	18099
5	114816	131577	16761
5	111291	131644	20353
5	119221	131278	12057
5	114840	131331	16491
5	116770	131905	15135
5	120158	130929	10771
5	115148	131037	15889
5	115687	131601	15914
5	119640	131019	11379
5	117085	131614	14529
5	116633	131629	14996
5	114665	131726	17061
5	119270	131233	11963
5	116814	131516	14702
5	115460	131646	16186
5	117857	131405	13548
5	116158	131284	15126
5	115547	131820	16273
5	113666	131824	18158
5	113155	131800	18645
5	116971	131687	14716
5	115717	131688	15971
5	113749	131799	18050
5	116989	131112	14123
6	117412	131193	13781
6	112962	131981	19019
6	112379	131974	19595
6	116680	131770	15090
6	113199	131870	18671
6	114638	131550	16912
6	113997	131665	17668
6	115605	131725	16120
6	110924	131743	20819
6	116151	131938	15787
6	116203	132004	15801
6	115813	131725	15912
6	114800	131773	16973
6	117415	131812	14397
