Combinations	core	pangenome	variable
2	122259	130210	7951
2	121289	130030	8741
2	123208	130647	7439
2	122929	130068	7139
2	121095	130272	9177
2	121826	129837	8011
2	120692	129721	9029
2	122525	129744	7219
2	122435	128844	6409
2	122535	128192	5657
2	120064	129632	9568
2	121546	129765	8219
2	121072	129821	8749
2	123558	129344	5786
2	119705	129275	9570
2	121033	130494	9461
2	123839	129946	6107
2	120563	129325	8762
2	121152	129991	8839
2	122314	129975	7661
2	122758	128882	6124
2	123235	127205	3970
2	121829	128801	6972
2	124990	130750	5760
2	121822	130121	8299
2	123550	130592	7042
2	123543	130658	7115
2	123846	129599	5753
2	121090	130125	9035
2	123112	127247	4135
2	121270	130282	9012
2	122904	130179	7275
2	122980	129069	6089
2	121650	129974	8324
2	122426	129707	7281
2	122261	129892	7631
2	121029	130136	9107
2	122207	130196	7989
2	120305	129844	9539
2	123950	130089	6139
2	122845	129977	7132
2	122253	128202	5949
2	123950	128756	4806
2	123777	129079	5302
2	123037	130135	7098
2	122865	128382	5517
2	121269	129718	8449
2	123970	130067	6097
2	122100	129991	7891
2	121064	128592	7528
2	123761	130535	6774
2	122450	128832	6382
2	123009	128969	5960
2	123495	129873	6378
3	121987	130424	8437
3	120595	131536	10941
3	115752	131014	15262
3	118078	130637	12559
3	118916	131047	12131
3	117136	130721	13585
3	121970	130703	8733
3	118731	130940	12209
3	121188	129746	8558
3	120042	130199	10157
3	120163	130567	10404
3	120450	131016	10566
3	118588	131241	12653
3	118646	130786	12140
3	117947	130514	12567
3	118334	130706	12372
3	119598	130877	11279
3	119625	131034	11409
3	117526	130887	13361
3	118775	131504	12729
3	119082	130848	11766
3	121297	130244	8947
3	119557	131343	11786
3	118420	130071	11651
3	116773	131005	14232
3	119813	131082	11269
3	121799	130490	8691
3	117426	130994	13568
3	119298	130914	11616
3	117970	130666	12696
3	119923	129572	9649
3	117333	131376	14043
3	118127	130816	12689
3	118976	130865	11889
3	118369	130928	12559
3	120114	131037	10923
3	120104	130527	10423
3	119260	130052	10792
3	118559	130994	12435
3	122366	130389	8023
3	117600	130668	13068
3	120217	131017	10800
3	119407	130790	11383
3	116938	131100	14162
3	120774	130605	9831
3	120383	131034	10651
3	121572	130178	8606
3	121205	131621	10416
3	121264	131134	9870
3	119084	130904	11820
3	118140	131268	13128
3	117367	130986	13619
3	120756	130811	10055
3	121860	130505	8645
4	118136	131289	13153
4	115234	131385	16151
4	118311	130059	11748
4	117905	131075	13170
4	118390	131330	12940
4	116299	131614	15315
4	118650	130948	12298
4	118048	131253	13205
4	118027	131161	13134
4	119151	131233	12082
4	117114	130877	13763
4	116754	131087	14333
4	117087	130486	13399
4	118377	131345	12968
4	114419	131628	17209
4	117458	130957	13499
4	113227	131420	18193
4	116727	131187	14460
4	118167	130690	12523
4	116061	131583	15522
4	116626	131452	14826
4	116137	131506	15369
4	115283	131370	16087
4	119966	131745	11779
4	117145	131651	14506
4	118671	131001	12330
4	120233	131120	10887
4	119632	131335	11703
4	117815	131529	13714
4	114697	131550	16853
4	112739	131537	18798
4	115531	131562	16031
4	118387	131164	12777
4	118271	131225	12954
4	117024	130932	13908
4	118415	131724	13309
4	118802	131343	12541
4	117236	131449	14213
4	117678	131349	13671
4	120821	130846	10025
4	118386	130980	12594
4	118076	131088	13012
4	116504	131360	14856
4	116189	131105	14916
4	117401	131436	14035
4	117909	131255	13346
4	116010	131355	15345
4	115334	131265	15931
4	117162	131328	14166
4	119706	130978	11272
4	114834	131359	16525
4	116697	131079	14382
4	119070	130096	11026
4	119011	131001	11990
5	113421	131678	18257
5	118356	131143	12787
5	114675	131845	17170
5	115540	131544	16004
5	114730	131580	16850
5	115653	131277	15624
5	114684	131718	17034
5	118044	130343	12299
5	114468	131747	17279
5	120536	131134	10598
5	117578	131422	13844
5	117799	131686	13887
5	117000	131414	14414
5	116104	131673	15569
5	118335	131795	13460
5	115999	131809	15810
5	114756	131713	16957
5	116702	131415	14713
5	115173	131621	16448
5	115853	131345	15492
5	115405	131585	16180
5	112201	131938	19737
5	116369	131571	15202
5	114708	131701	16993
5	114710	131835	17125
5	117760	131490	13730
5	114034	131580	17546
5	115861	131932	16071
5	115425	131400	15975
5	115873	131987	16114
5	116944	131879	14935
5	116206	131608	15402
5	117801	131510	13709
5	113309	131477	18168
5	114460	131641	17181
5	116397	131582	15185
5	116860	131627	14767
5	116322	131503	15181
5	118987	130843	11856
5	115690	131655	15965
5	116870	131627	14757
5	117107	131645	14538
5	115377	131520	16143
5	114746	131351	16605
5	114162	131616	17454
5	116359	131683	15324
5	113689	131846	18157
5	113393	131787	18394
5	115920	131798	15878
5	117565	131633	14068
5	113328	131546	18218
5	116318	131632	15314
5	116739	131089	14350
5	114979	131421	16442
6	113740	131564	17824
6	116521	131422	14901
6	112666	131926	19260
6	111747	131896	20149
6	115312	131830	16518
6	113585	131510	17925
6	115178	131654	16476
6	115077	131866	16789
6	116683	131354	14671
6	116003	131783	15780
6	113334	132057	18723
6	114341	131920	17579
6	116154	131683	15529
6	113145	131979	18834
6	112177	131887	19710
6	114604	131744	17140
6	116112	131679	15567
6	113417	131810	18393
6	114869	131918	17049
6	114167	132032	17865
6	113762	131841	18079
6	111794	131994	20200
6	113963	132160	18197
6	117171	131337	14166
6	117361	131518	14157
6	114211	131939	17728
6	115818	131725	15907
