Combinations	core	pangenome	variable
2	59936	62561	2625
2	60456	64472	4016
2	59736	63615	3879
2	61296	64856	3560
2	59138	62917	3779
2	62918	63901	983
2	60368	64578	4210
2	59324	63285	3961
2	60584	64611	4027
2	60050	64524	4474
2	58700	63314	4614
2	60454	62902	2448
2	59877	64002	4125
2	59176	63432	4256
2	59368	63696	4328
2	60470	64660	4190
2	59003	63246	4243
2	58991	63498	4507
2	59597	63602	4005
2	59553	63592	4039
2	60547	64305	3758
2	59740	62832	3092
2	59417	63756	4339
2	59240	63732	4492
2	58785	63404	4619
2	59163	63473	4310
2	59275	63352	4077
2	61391	64422	3031
2	59335	63059	3724
2	59682	62810	3128
2	58795	63298	4503
2	59211	63706	4495
2	59662	64004	4342
2	58931	63403	4472
2	59615	63778	4163
2	59189	63231	4042
2	59601	62369	2768
2	58850	63232	4382
2	59057	63158	4101
2	61921	63329	1408
2	59891	62332	2441
2	59056	63080	4024
2	59080	63469	4389
2	59282	63038	3756
2	60632	64906	4274
2	59186	63518	4332
2	59713	63351	3638
2	59261	63803	4542
2	59048	63406	4358
2	60731	64629	3898
2	59548	63876	4328
2	59482	63802	4320
2	60606	64037	3431
2	58965	63476	4511
2	59262	63356	4094
2	59961	64075	4114
2	59805	62543	2738
2	59150	62831	3681
2	59114	63346	4232
2	59368	63657	4289
2	60089	63713	3624
2	59055	63338	4283
2	59331	62612	3281
2	59216	63174	3958
2	58961	63394	4433
2	59683	63916	4233
2	59399	63456	4057
2	58806	63238	4432
2	59810	62563	2753
2	60762	64274	3512
2	59142	63591	4449
2	59701	63906	4205
2	59276	63173	3897
2	59570	63520	3950
2	58721	63366	4645
2	59347	63573	4226
2	60282	64052	3770
2	59301	63371	4070
2	60049	64217	4168
2	60101	63088	2987
2	59118	63397	4279
2	60091	64162	4071
2	61146	64460	3314
3	58677	64940	6263
3	57630	64049	6419
3	57935	64255	6320
3	58136	63971	5835
3	57494	64447	6953
3	58623	64438	5815
3	59553	65013	5460
3	59047	65204	6157
3	58088	63961	5873
3	59379	64852	5473
3	58050	64258	6208
3	57974	64235	6261
3	58693	64498	5805
3	59032	64778	5746
3	58305	64435	6130
3	58710	64560	5850
3	59762	64714	4952
3	57902	64275	6373
3	58353	63971	5618
3	58861	64815	5954
3	58998	64778	5780
3	58331	63937	5606
3	58055	63858	5803
3	57911	64147	6236
3	58201	64116	5915
3	57931	64327	6396
3	57858	64274	6416
3	59630	64950	5320
3	58023	64160	6137
3	57963	64058	6095
3	58426	64619	6193
3	59392	65132	5740
3	58989	64836	5847
3	57967	63941	5974
3	58084	64407	6323
3	58118	64206	6088
3	58224	64494	6270
3	58190	64401	6211
3	58393	64264	5871
3	58050	64203	6153
3	57888	64097	6209
3	57880	64071	6191
3	58704	64944	6240
3	58476	63571	5095
3	57681	64071	6390
3	59277	65275	5998
3	58547	64939	6392
3	59257	64599	5342
3	58826	64591	5765
3	58783	65145	6362
3	58354	64376	6022
3	57704	63983	6279
3	57977	64245	6268
3	58560	64928	6368
3	58146	64299	6153
3	59983	65149	5166
3	58916	63307	4391
3	59483	65018	5535
3	57896	64241	6345
3	59965	65125	5160
3	60645	65174	4529
3	58063	64207	6144
3	59541	65214	5673
3	58050	64316	6266
3	58323	63963	5640
3	58379	63711	5332
3	57901	63998	6097
3	59173	65233	6060
3	58617	64686	6069
3	58562	64338	5776
3	58131	64057	5926
3	58161	63764	5603
3	59573	64843	5270
3	58733	64512	5779
3	58186	63901	5715
3	58497	64467	5970
3	58091	64236	6145
3	57942	64351	6409
3	58151	64424	6273
3	59140	64786	5646
3	59419	64571	5152
3	58545	64415	5870
3	59451	64713	5262
3	57852	64163	6311
3	60676	65324	4648
3	58324	64116	5792
4	57730	65280	7550
4	58390	64927	6537
4	57338	64485	7147
4	57412	64713	7301
4	58190	64136	5946
4	57689	64949	7260
4	57962	64995	7033
4	57189	64206	7017
4	57301	64648	7347
4	57370	64988	7618
4	58009	64937	6928
4	57465	64383	6918
4	57632	64682	7050
4	58393	65000	6607
4	57369	64457	7088
4	57723	64482	6759
4	57990	64876	6886
4	57148	64453	7305
4	57751	64995	7244
4	58513	64821	6308
4	57559	64889	7330
4	57961	65173	7212
4	57272	64324	7052
4	57973	64653	6680
4	57066	64582	7516
4	58022	65293	7271
4	57764	64634	6870
4	57249	64412	7163
4	57564	64482	6918
4	57691	64261	6570
4	57979	64691	6712
4	57904	64685	6781
4	58168	63905	5737
4	57793	64993	7200
4	57454	64625	7171
4	58103	65259	7156
4	57079	64419	7340
4	57092	64355	7263
4	56983	64833	7850
4	57169	64747	7578
4	57282	64614	7332
4	57589	64767	7178
4	57070	64403	7333
4	56762	64498	7736
4	57826	64563	6737
4	57284	64758	7474
4	58409	64310	5901
4	57806	64726	6920
4	57431	64697	7266
4	57865	65009	7144
4	57895	65282	7387
4	58422	64916	6494
4	58114	64733	6619
4	57152	64455	7303
4	58238	64432	6194
4	58134	65014	6880
4	57112	64846	7734
4	57585	64875	7290
4	58540	65015	6475
4	57144	64576	7432
4	57466	64441	6975
4	57364	64357	6993
4	58092	65079	6987
4	57348	64811	7463
4	56872	64566	7694
4	57728	64538	6810
4	57262	64527	7265
4	57664	64589	6925
4	57207	64327	7120
4	56894	64519	7625
4	57925	65128	7203
4	58006	64359	6353
4	57610	64160	6550
4	57926	64875	6949
4	57765	64966	7201
4	58699	65068	6369
4	57353	64281	6928
4	57539	64559	7020
4	57692	65144	7452
4	57201	64702	7501
4	58247	65032	6785
4	58946	63389	4443
4	57553	64641	7088
4	59334	65295	5961
4	56953	64318	7365
4	57897	64748	6851
5	56605	64581	7976
5	56707	65021	8314
5	56691	65174	8483
5	57373	65341	7968
5	57295	65143	7848
5	56668	65105	8437
5	56889	65233	8344
5	56364	64698	8334
5	57833	65300	7467
5	57279	65014	7735
5	56966	64621	7655
5	56674	64803	8129
5	57467	64909	7442
5	56988	64638	7650
5	58247	65538	7291
5	56648	64730	8082
5	57556	64887	7331
5	56494	65118	8624
5	57179	64733	7554
5	56670	64679	8009
5	56360	64663	8303
5	56911	65159	8248
5	57484	65034	7550
5	56550	65075	8525
5	57005	65225	8220
5	57273	64848	7575
5	56553	64805	8252
5	56634	64791	8157
5	57025	64364	7339
5	56535	64709	8174
5	56901	64797	7896
5	57048	64960	7912
5	56593	64747	8154
5	56799	65230	8431
5	56547	65260	8713
5	56602	64837	8235
5	56524	64628	8104
5	56982	65293	8311
5	56765	64695	7930
5	56975	64734	7759
5	57618	65300	7682
5	57165	65179	8014
5	57315	65193	7878
5	56619	64786	8167
5	56676	64542	7866
5	57393	65086	7693
5	56911	64460	7549
5	57190	65248	8058
5	57960	64800	6840
5	58082	65262	7180
5	58199	65252	7053
5	56790	64711	7921
5	56712	64740	8028
5	56968	64979	8011
5	56848	65107	8259
5	56398	65065	8667
5	56842	64590	7748
5	57244	64852	7608
5	57766	65271	7505
5	56685	65308	8623
5	57765	65147	7382
5	57511	65460	7949
5	57029	64976	7947
5	56629	65017	8388
5	57916	65151	7235
5	57205	65052	7847
5	57038	65361	8323
5	57386	65224	7838
5	56262	64670	8408
5	57307	65160	7853
5	56318	64865	8547
5	57142	65174	8032
5	56947	64908	7961
5	57186	65132	7946
5	57868	65131	7263
5	57314	65254	7940
5	57058	64871	7813
5	56916	64836	7920
5	56532	64806	8274
5	56632	64673	8041
5	56609	65138	8529
5	56964	64690	7726
5	57307	65193	7886
5	57243	65279	8036
5	58292	65455	7163
5	56763	64883	8120
6	56682	65412	8730
6	56055	65138	9083
6	56158	64971	8813
6	56664	65059	8395
6	56228	65333	9105
6	56143	64899	8756
6	56803	65152	8349
6	56168	65079	8911
6	57295	65328	8033
6	55814	64904	9090
6	56788	65373	8585
6	57258	65207	7949
6	56643	64996	8353
6	55909	65080	9171
6	56644	65309	8665
6	58242	65337	7095
6	57337	65036	7699
6	57038	65063	8025
6	56286	64919	8633
6	55665	65145	9480
6	56239	65134	8895
6	56513	64926	8413
6	57751	65271	7520
6	56429	65397	8968
6	57332	65314	7982
6	56647	65327	8680
6	56238	65162	8924
6	57410	65444	8034
6	56247	64800	8553
6	57331	65336	8005
6	57087	65083	7996
6	55932	65112	9180
6	56557	65223	8666
6	56423	65153	8730
6	56937	65336	8399
6	55858	65314	9456
6	55938	64958	9020
6	55927	65026	9099
6	56394	64955	8561
6	56653	65361	8708
6	55929	64891	8962
6	56154	65019	8865
6	56412	65133	8721
6	56491	64802	8311
6	56552	64881	8329
6	56248	64832	8584
6	56509	65181	8672
6	57114	65394	8280
6	56273	65047	8774
6	56556	65172	8616
6	56968	64646	7678
