Combinations	core	pangenome	variable
2	64424	69864	5440
2	64480	69916	5436
2	65955	70480	4525
2	64730	69397	4667
2	65992	70539	4547
2	65956	73909	7953
2	64617	70100	5483
2	65912	71362	5450
2	64101	70216	6115
2	65352	71410	6058
2	64313	70003	5690
2	64396	70134	5738
2	64659	69887	5228
2	67115	74124	7009
2	68033	74794	6761
2	64998	70342	5344
2	64499	70303	5804
2	65276	71455	6179
2	64738	69541	4803
2	67823	74140	6317
2	65419	69255	3836
2	65556	68795	3239
2	64283	70095	5812
2	64320	70129	5809
2	63719	69835	6116
2	64904	70392	5488
2	64756	69566	4810
2	64233	69905	5672
2	64945	69536	4591
2	64843	70145	5302
2	65654	72072	6418
2	65376	71018	5642
2	63807	69651	5844
2	66077	70993	4916
2	65288	69866	4578
2	64590	69592	5002
2	64591	70675	6084
2	66345	73053	6708
2	65716	70956	5240
2	66068	73388	7320
2	68671	72256	3585
2	65191	72004	6813
2	63655	70113	6458
2	63973	69969	5996
2	64454	70098	5644
2	66539	71315	4776
2	65401	72000	6599
2	64344	70306	5962
2	66251	74063	7812
2	64657	69407	4750
2	64605	70219	5614
2	65408	72057	6649
2	64744	69193	4449
2	64862	69550	4688
2	64801	69516	4715
2	64502	69588	5086
2	65750	70436	4686
2	63743	69880	6137
2	65926	74028	8102
2	66458	71088	4630
2	67508	74165	6657
2	64639	70092	5453
2	64048	70043	5995
2	64718	69951	5233
2	64170	69930	5760
2	65703	70693	4990
2	64274	70110	5836
2	64010	70211	6201
2	64534	70110	5576
2	64166	69911	5745
2	64636	69512	4876
2	65436	70817	5381
2	64470	69921	5451
2	63581	70045	6464
2	65140	70979	5839
2	65440	71779	6339
2	64516	70149	5633
2	65512	71774	6262
2	65518	73334	7816
2	65836	73323	7487
2	64851	69729	4878
2	64695	69460	4765
2	65323	70872	5549
2	67061	74105	7044
2	64287	70208	5921
2	65287	71980	6693
3	63030	71086	8056
3	62704	71136	8432
3	61937	71301	9364
3	62048	71358	9310
3	64170	74329	10159
3	64539	74692	10153
3	64072	71877	7805
3	62181	71044	8863
3	63177	71758	8581
3	62834	71340	8506
3	63177	72006	8829
3	65445	74642	9197
3	65176	74468	9292
3	63407	71552	8145
3	62558	70952	8394
3	61845	71320	9475
3	63698	72490	8792
3	64040	74231	10191
3	62855	71418	8563
3	63067	70806	7739
3	62730	71166	8436
3	63606	74505	10899
3	62684	71256	8572
3	63061	71917	8856
3	63220	70923	7703
3	64084	72080	7996
3	62755	71067	8312
3	62563	71104	8541
3	64408	71329	6921
3	62954	71381	8427
3	63217	71425	8208
3	64369	74350	9981
3	63029	71118	8089
3	62936	70857	7921
3	63163	72164	9001
3	63504	71926	8422
3	62498	71209	8711
3	62272	71272	9000
3	62933	71148	8215
3	64119	71220	7101
3	64458	73282	8824
3	65097	74486	9389
3	62049	71235	9186
3	63090	71537	8447
3	62754	71357	8603
3	64047	71819	7772
3	63743	71063	7320
3	63439	71774	8335
3	63014	71540	8526
3	62459	70983	8524
3	63423	70201	6778
3	62969	71087	8118
3	62553	71223	8670
3	62599	71239	8640
3	64545	71953	7408
3	63012	70902	7890
3	64286	72741	8455
3	63207	72028	8821
3	65008	71750	6742
3	62896	71567	8671
3	63768	73842	10074
3	63744	72336	8592
3	64447	74398	9951
3	63139	70973	7834
3	63786	74464	10678
3	62585	71375	8790
3	63675	71935	8260
3	62868	70812	7944
3	62511	70876	8365
3	62715	70913	8198
3	63516	71418	7902
3	62772	71527	8755
3	63876	71329	7453
3	64224	73751	9527
3	63026	72073	9047
3	63074	70776	7702
3	63094	71086	7992
3	62597	71236	8639
3	64109	71852	7743
3	62315	71184	8869
3	63084	71093	8009
3	66587	74642	8055
3	62956	71018	8062
3	62692	70936	8244
3	62354	70976	8622
3	64512	74657	10145
4	61611	71864	10253
4	62187	72299	10112
4	63353	74905	11552
4	61938	72451	10513
4	63189	72798	9609
4	61603	71939	10336
4	61424	72182	10758
4	62206	72370	10164
4	61786	71951	10165
4	63083	71825	8742
4	61233	71990	10757
4	61890	74756	12866
4	61712	71728	10016
4	62387	71645	9258
4	63000	74744	11744
4	63128	74849	11721
4	63076	71971	8895
4	62308	71786	9478
4	62583	72107	9524
4	62637	72415	9778
4	62417	74925	12508
4	61707	71352	9645
4	63404	72762	9358
4	62255	72065	9810
4	62771	71749	8978
4	62214	72209	9995
4	61977	72345	10368
4	62427	74191	11764
4	61606	71741	10135
4	62590	70999	8409
4	62457	72478	10021
4	62345	72382	10037
4	62869	74257	11388
4	62320	71430	9110
4	62571	72086	9515
4	61846	71706	9860
4	61275	71676	10401
4	61864	71479	9615
4	62693	71860	9167
4	63095	72686	9591
4	62479	74847	12368
4	61440	71682	10242
4	62233	72205	9972
4	61968	72282	10314
4	61917	72285	10368
4	62661	74908	12247
4	62300	74890	12590
4	62717	72523	9806
4	62364	73009	10645
4	62033	71666	9633
4	63450	72940	9490
4	61954	72208	10254
4	61485	71662	10177
4	62155	75112	12957
4	61758	71845	10087
4	61919	71497	9578
4	61961	72187	10226
4	61964	72802	10838
4	62651	72448	9797
4	62835	72428	9593
4	63145	75446	12301
4	61728	71871	10143
4	61750	71587	9837
4	61544	71781	10237
4	61418	71924	10506
4	62172	73212	11040
4	62562	71099	8537
4	61497	71760	10263
4	62630	74915	12285
4	62461	71886	9425
4	63018	72265	9247
4	62127	74057	11930
4	61925	71737	9812
4	62049	73032	10983
4	62598	71252	8654
4	62388	72191	9803
4	62896	70983	8087
4	61545	71562	10017
4	64222	72121	7899
4	62091	71573	9482
4	61317	74777	13460
4	62967	73265	10298
4	61619	71370	9751
4	61748	72107	10359
4	62783	72018	9235
4	62640	71386	8746
5	60893	73417	12524
5	61006	72237	11231
5	61502	74373	12871
5	61628	72972	11344
5	61013	71995	10982
5	61855	71783	9928
5	61690	73545	11855
5	61253	74352	13099
5	61349	72313	10964
5	61548	72140	10592
5	61842	72458	10616
5	61203	72058	10855
5	60902	72360	11458
5	61370	72017	10647
5	60084	72221	12137
5	61701	75335	13634
5	61706	75002	13296
5	61584	71543	9959
5	61398	74946	13548
5	60340	72193	11853
5	61318	73166	11848
5	62036	72256	10220
5	60811	72012	11201
5	61881	72530	10649
5	62391	72451	10060
5	61612	73264	11652
5	61493	72091	10598
5	60137	72255	12118
5	61330	72111	10781
5	61384	71916	10532
5	60532	72132	11600
5	62330	75003	12673
5	61581	71724	10143
5	61880	72998	11118
5	61297	72626	11329
5	62354	74440	12086
5	60805	73290	12485
5	62060	73074	11014
5	61421	73172	11751
5	60249	72077	11828
5	60917	72945	12028
5	62311	74498	12187
5	60906	72020	11114
5	62313	74550	12237
5	61014	72055	11041
5	60513	72012	11499
5	59999	72424	12425
5	60816	72101	11285
5	62679	74489	11810
5	61809	71697	9888
5	61036	71989	10953
5	60997	71878	10881
5	62022	74881	12859
5	60100	72298	12198
5	60527	72144	11617
5	60749	72124	11375
5	61992	74522	12530
5	61708	74948	13240
5	60629	72166	11537
5	62080	73126	11046
5	60728	72008	11280
5	60854	72001	11147
5	62040	72769	10729
5	62780	74552	11772
5	60659	75076	14417
5	62156	74311	12155
5	60964	74294	13330
5	61034	73533	12499
5	62585	74407	11822
5	61347	72405	11058
5	60974	72575	11601
5	61220	75085	13865
5	61637	73038	11401
5	61224	71989	10765
5	61548	72023	10475
5	60722	72228	11506
5	61857	74397	12540
5	61201	73172	11971
5	61340	72442	11102
5	64049	74463	10414
5	60670	71986	11316
5	60999	72543	11544
5	61550	72054	10504
5	61007	72184	11177
5	61261	72673	11412
5	60156	72269	12113
6	60776	73567	12791
6	60542	72180	11638
6	62083	75442	13359
6	60613	72783	12170
6	61528	74412	12884
6	61050	75241	14191
6	61679	73288	11609
6	61092	72588	11496
6	60414	72936	12522
6	60978	72498	11520
6	60819	73117	12298
6	61206	73734	12528
6	60039	72346	12307
6	60701	72084	11383
6	60806	72872	12066
6	59688	73091	13403
6	60101	75186	15085
6	60573	72730	12157
6	60685	72938	12253
6	60859	72751	11892
6	61143	72445	11302
6	59861	72424	12563
6	60825	72667	11842
6	60588	74419	13831
6	60467	72418	11951
6	60594	75226	14632
6	60379	72588	12209
6	60847	72394	11547
6	61139	72846	11707
6	61030	72688	11658
6	61143	74058	12915
6	61076	73785	12709
6	60433	72962	12529
6	60669	72338	11669
6	60199	72248	12049
6	61391	75209	13818
6	62263	74433	12170
6	60147	72513	12366
6	61707	74425	12718
6	60125	74981	14856
6	61105	73371	12266
6	60319	72640	12321
6	60645	75280	14635
6	60690	72692	12002
6	61686	75052	13366
6	61194	73837	12643
6	60822	74447	13625
6	61455	75141	13686
6	60151	72666	12515
6	60923	73396	12473
6	60929	74543	13614
6	61059	73117	12058
6	60852	75101	14249
6	60881	72400	11519
6	61809	71862	10053
6	60376	72356	11980
6	60191	73084	12893
6	60723	72175	11452
6	60334	73023	12689
6	60753	75255	14502
6	61159	73044	11885
6	60104	72286	12182
6	60181	72143	11962
6	60917	72880	11963
6	60430	72533	12103
6	60761	73155	12394
6	60583	73018	12435
6	60444	75158	14714
6	59878	72557	12679
6	60418	72608	12190
6	61997	74395	12398
6	61509	72730	11221
6	60943	73638	12695
6	60858	74542	13684
6	60593	72289	11696
6	60656	73613	12957
6	61047	74563	13516
6	62018	75276	13258
6	60716	72190	11474
6	60327	72268	11941
6	60079	72449	12370
6	60950	72120	11170
6	60022	72417	12395
6	60017	72478	12461
6	60798	72847	12049
6	61033	72740	11707
7	59448	75237	15789
7	59765	72773	13008
7	60188	73324	13136
7	60494	73470	12976
7	60609	73939	13330
7	60206	73545	13339
7	60604	75284	14680
7	59974	72333	12359
7	59918	73135	13217
7	59936	75113	15177
7	60661	73073	12412
7	59842	72695	12853
7	60141	72938	12797
7	60971	73331	12360
7	60680	75124	14444
7	60243	72199	11956
7	60308	72821	12513
7	60637	73348	12711
7	60172	72673	12501
7	59885	72525	12640
7	60004	72797	12793
7	60134	74990	14856
7	60002	72342	12340
7	59968	73080	13112
7	60131	72869	12738
7	61802	74109	12307
7	59854	72996	13142
7	59219	75055	15836
7	60123	75052	14929
7	60708	73327	12619
7	60728	73404	12676
7	59825	73047	13222
7	60117	75077	14960
7	59835	73297	13462
7	59897	73199	13302
7	60548	74374	13826
