Combinations	core	pangenome	variable
2	54162	60596	6434
2	53802	61527	7725
2	55758	61016	5258
2	54740	60771	6031
2	52384	59399	7015
2	54665	60906	6241
2	54978	61452	6474
2	53460	60098	6638
2	54319	60948	6629
2	54526	61189	6663
2	55618	61674	6056
2	55266	61050	5784
2	54513	60008	5495
2	54823	60983	6160
2	54474	60579	6105
2	53938	60899	6961
2	56416	61074	4658
2	57519	61018	3499
2	53709	59373	5664
2	54035	59052	5017
2	54593	60183	5590
2	55027	60347	5320
2	53350	59452	6102
2	53992	59130	5138
2	54841	61190	6349
2	53801	60534	6733
2	53307	58892	5585
2	54001	59790	5789
2	54848	60928	6080
2	52320	59276	6956
2	54416	59862	5446
2	54278	60565	6287
2	54812	60591	5779
2	54525	59578	5053
2	52430	59252	6822
2	52579	59762	7183
2	54592	59953	5361
2	56103	60388	4285
2	54083	60289	6206
2	54089	61635	7546
2	53487	60055	6568
2	54015	59510	5495
2	54946	60267	5321
2	53915	59461	5546
2	51815	59457	7642
2	54591	60666	6075
2	53608	59621	6013
2	57942	62391	4449
2	52526	60130	7604
2	56858	60538	3680
2	54927	61545	6618
2	53064	59773	6709
2	53063	59836	6773
2	53923	60934	7011
2	55720	60718	4998
2	53381	61167	7786
2	55208	60933	5725
2	54953	59872	4919
2	58304	61299	2995
2	53171	60002	6831
2	55864	61098	5234
2	53602	60843	7241
2	54635	60242	5607
2	52639	59682	7043
2	55162	61262	6100
2	54066	60529	6463
2	53097	59240	6143
2	54242	60084	5842
2	54378	60225	5847
2	54364	60682	6318
2	53410	59550	6140
3	52768	61754	8986
3	52215	61810	9595
3	52090	59504	7414
3	52773	61942	9169
3	52286	60765	8479
3	52070	61840	9770
3	51954	61497	9543
3	52677	61022	8345
3	54214	61318	7104
3	53328	61517	8189
3	52520	61586	9066
3	51031	61099	10068
3	53734	61972	8238
3	53903	61758	7855
3	53304	62027	8723
3	51754	61758	10004
3	52118	62061	9943
3	53895	61802	7907
3	52647	61120	8473
3	52138	61600	9462
3	53670	61806	8136
3	53426	61188	7762
3	51984	62040	10056
3	51763	61787	10024
3	51533	60935	9402
3	52596	61957	9361
3	51425	60559	9134
3	50739	60797	10058
3	53076	61686	8610
3	52618	61928	9310
3	52895	60984	8089
3	52365	61213	8848
3	52763	61261	8498
3	52735	61366	8631
3	53820	62486	8666
3	52157	61536	9379
3	54136	62159	8023
3	50928	60934	10006
3	52214	60789	8575
3	51990	61762	9772
3	51335	60818	9483
3	51218	61688	10470
3	52203	61265	9062
3	51915	61434	9519
3	54019	61660	7641
3	52919	61828	8909
3	53478	61241	7763
3	52337	62620	10283
3	52786	61474	8688
3	51799	61117	9318
3	52499	61919	9420
3	52892	59597	6705
3	53618	61227	7609
3	52864	60846	7982
3	49898	61702	11804
3	51684	60709	9025
3	51478	60663	9185
3	51607	62505	10898
3	53295	61848	8553
3	51822	61113	9291
3	53610	61186	7576
3	51406	60824	9418
3	50951	61803	10852
3	51638	61732	10094
3	52878	61813	8935
3	51817	61345	9528
3	53457	61221	7764
3	51659	62386	10727
3	52891	61699	8808
3	51597	61913	10316
3	50810	61512	10702
4	50533	62289	11756
4	51230	61824	10594
4	51308	61180	9872
4	51775	62108	10333
4	50240	61657	11417
4	49623	61353	11730
4	50528	61540	11012
4	51346	61949	10603
4	52813	62336	9523
4	49854	60528	10674
4	50184	62126	11942
4	49414	61629	12215
4	52371	62496	10125
4	50735	62740	12005
4	51278	62269	10991
4	51212	61592	10380
4	52101	62044	9943
4	51316	61487	10171
4	51035	62007	10972
4	52486	61969	9483
4	50370	62496	12126
4	50113	61831	11718
4	51617	61924	10307
4	50566	61930	11364
4	51711	62625	10914
4	51090	62881	11791
4	52293	61708	9415
4	49455	61335	11880
4	49989	61164	11175
4	50567	61448	10881
4	49233	61933	12700
4	51178	62225	11047
4	51243	62283	11040
4	50663	61684	11021
4	50416	61903	11487
4	51654	62712	11058
4	51444	62205	10761
4	50606	61337	10731
4	54100	61621	7521
4	52459	62579	10120
4	50684	61901	11217
4	50385	62142	11757
4	49986	62211	12225
4	50382	62294	11912
4	50547	62165	11618
4	51238	62211	10973
4	50215	62665	12450
4	50804	62251	11447
4	50696	62166	11470
4	50643	61689	11046
4	53466	62771	9305
4	49888	62141	12253
4	51774	62775	11001
4	49842	62173	12331
4	50902	62146	11244
4	52567	62372	9805
4	50560	61454	10894
4	51504	61498	9994
4	50741	62632	11891
4	51896	62722	10826
4	49510	62133	12623
4	50237	61903	11666
4	50403	62130	11727
4	52565	62047	9482
4	51319	60951	9632
4	51541	61760	10219
4	51076	61984	10908
4	52239	61913	9674
4	51305	62355	11050
4	50318	61660	11342
4	51299	62442	11143
5	49055	61775	12720
5	49947	62529	12582
5	47787	62489	14702
5	50341	62227	11886
5	50395	61850	11455
5	50302	62795	12493
5	50412	62012	11600
5	51632	61608	9976
5	48392	62157	13765
5	50524	62736	12212
5	50231	62497	12266
5	50995	62545	11550
5	49705	62587	12882
5	50273	62703	12430
5	49995	62780	12785
5	51385	62808	11423
5	50489	62141	11652
5	50375	62547	12172
5	48949	61988	13039
5	49283	62445	13162
5	49546	62175	12629
5	51576	63058	11482
5	51010	62905	11895
5	49954	62916	12962
5	50404	62743	12339
5	50221	62077	11856
5	51053	62846	11793
5	51293	62525	11232
5	50649	62804	12155
5	50444	62962	12518
5	48765	61693	12928
5	50074	62061	11987
5	51550	61898	10348
5	50610	62386	11776
5	49712	62062	12350
5	48613	62561	13948
5	50400	62668	12268
5	49138	62798	13660
5	49660	62646	12986
5	50085	63006	12921
5	49526	62687	13161
5	48723	62217	13494
5	51157	62453	11296
5	48995	62453	13458
5	49849	62251	12402
5	50489	62769	12280
5	49609	62018	12409
5	50755	62121	11366
5	51395	62824	11429
5	50911	62397	11486
5	49453	61877	12424
5	49527	62741	13214
5	49620	62654	13034
5	50225	62545	12320
5	49290	62949	13659
5	50745	62416	11671
5	50079	62224	12145
5	50274	62652	12378
5	51220	62951	11731
5	51856	62411	10555
5	48734	62786	14052
5	51052	62710	11658
5	49946	62729	12783
5	51799	62895	11096
5	48475	61877	13402
5	50032	62168	12136
5	51068	62577	11509
5	48677	61479	12802
5	51054	62736	11682
5	51491	62664	11173
