Combinations	core	pangenome	variable
2	52860	58732	5872
2	52394	61380	8986
2	56482	62166	5684
2	53679	58456	4777
2	52152	58075	5923
2	53356	58008	4652
2	53937	58819	4882
2	52072	59870	7798
2	52936	59030	6094
2	56379	60238	3859
2	54835	62159	7324
2	55380	59562	4182
2	53453	55329	1876
2	53947	59313	5366
2	52466	57505	5039
2	53762	58409	4647
2	52041	58014	5973
2	53478	58917	5439
2	52995	58736	5741
2	52165	58158	5993
2	54018	58164	4146
2	53922	58629	4707
2	53637	58288	4651
2	52316	57921	5605
2	52353	58251	5898
2	53037	57773	4736
2	53539	58852	5313
2	52418	57804	5386
2	51698	57776	6078
2	53302	60667	7365
2	54456	59425	4969
2	54166	60865	6699
2	53138	58915	5777
2	51698	61075	9377
2	53234	59052	5818
2	54692	59530	4838
2	55074	59989	4915
2	52921	58433	5512
2	52480	61000	8520
2	52999	58727	5728
2	52033	58035	6002
2	53355	59501	6146
2	53555	58897	5342
2	55206	59503	4297
2	53592	58989	5397
2	54870	59438	4568
2	53700	58398	4698
2	53731	59000	5269
2	52915	59051	6136
2	52734	57500	4766
2	53257	58824	5567
2	53527	58468	4941
2	53486	59216	5730
2	52507	58875	6368
2	54210	62102	7892
2	53891	56998	3107
2	53612	58930	5318
2	53714	58628	4914
2	52826	58859	6033
2	52846	58677	5831
2	55978	60290	4312
2	52407	57562	5155
2	54238	58585	4347
2	52337	58258	5921
2	52422	59094	6672
2	53717	57502	3785
2	52927	57835	4908
2	54212	59233	5021
2	53485	58817	5332
2	53506	58268	4762
3	52307	59997	7690
3	51869	59616	7747
3	51192	59682	8490
3	51797	58479	6682
3	52133	59623	7490
3	52335	58861	6526
3	52192	59402	7210
3	51926	60135	8209
3	53043	59918	6875
3	54035	60489	6454
3	52135	60297	8162
3	50429	59414	8985
3	51514	59380	7866
3	51725	59418	7693
3	52514	59818	7304
3	51157	59645	8488
3	53149	59960	6811
3	52720	60185	7465
3	52417	62273	9856
3	51350	58880	7530
3	52050	59445	7395
3	49860	61956	12096
3	51656	60123	8467
3	53370	60217	6847
3	52761	59557	6796
3	50597	59955	9358
3	50659	62212	11553
3	52852	60495	7643
3	52114	60130	8016
3	52741	59777	7036
3	54796	62439	7643
3	51725	58424	6699
3	51941	60038	8097
3	51606	58504	6898
3	51571	59861	8290
3	51533	60055	8522
3	51774	61333	9559
3	51722	59810	8088
3	52482	59568	7086
3	51947	59695	7748
3	51153	59886	8733
3	52173	58499	6326
3	51420	59730	8310
3	51554	59834	8280
3	52082	60103	8021
3	51780	59373	7593
3	53502	61132	7630
3	51146	62327	11181
3	52068	60017	7949
3	55314	62590	7276
3	50771	59835	9064
3	51844	59584	7740
3	51444	59657	8213
3	52884	60373	7489
3	53833	60810	6977
3	51148	59495	8347
3	51903	59080	7177
3	51790	60005	8215
3	51750	60148	8398
3	51550	60070	8520
3	52340	60164	7824
3	53287	60523	7236
3	51352	59836	8484
3	52691	59871	7180
3	52205	60027	7822
3	52264	60121	7857
3	54592	62418	7826
